
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
       62   0.0000       0.0000      -26.778         0.00     0.00     0.00
       71   26.778       0.0000       0.0000         0.00     0.00     0.00
       72   26.263       0.0000      -5.2241         0.00     0.00     0.00
       73   24.740       0.0000      -10.247         0.00     0.00     0.00
       74   22.265       0.0000      -14.877         0.00     0.00     0.00
       75   18.935       0.0000      -18.935         0.00     0.00     0.00
       76   14.877       0.0000      -22.265         0.00     0.00     0.00
       77   10.247       0.0000      -24.740         0.00     0.00     0.00
       78   5.2241       0.0000      -26.263         0.00     0.00     0.00
      175  -26.778       0.0000       0.0000         0.00     0.00     0.00
      183  -5.2241       0.0000      -26.263         0.00     0.00     0.00
      184  -10.247       0.0000      -24.740         0.00     0.00     0.00
      185  -14.877       0.0000      -22.265         0.00     0.00     0.00
      186  -18.935       0.0000      -18.935         0.00     0.00     0.00
      187  -22.265       0.0000      -14.877         0.00     0.00     0.00
      188  -24.740       0.0000      -10.247         0.00     0.00     0.00
      189  -26.263       0.0000      -5.2241         0.00     0.00     0.00
      279   0.0000       0.0000       26.778         0.00     0.00     0.00
      287  -26.263       0.0000       5.2241         0.00     0.00     0.00
      288  -24.740       0.0000       10.247         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      289  -22.265       0.0000       14.877         0.00     0.00     0.00
      290  -18.935       0.0000       18.935         0.00     0.00     0.00
      291  -14.877       0.0000       22.265         0.00     0.00     0.00
      292  -10.247       0.0000       24.740         0.00     0.00     0.00
      293  -5.2241       0.0000       26.263         0.00     0.00     0.00
      375   5.2241       0.0000       26.263         0.00     0.00     0.00
      376   10.247       0.0000       24.740         0.00     0.00     0.00
      377   14.877       0.0000       22.265         0.00     0.00     0.00
      378   18.935       0.0000       18.935         0.00     0.00     0.00
      379   22.265       0.0000       14.877         0.00     0.00     0.00
      380   24.740       0.0000       10.247         0.00     0.00     0.00
      381   26.263       0.0000       5.2241         0.00     0.00     0.00

