
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   17.927       0.0000      -3.5659         0.00     0.00     0.00
        4   16.887       0.0000      -6.9947         0.00     0.00     0.00
        5   15.198       0.0000      -10.155         0.00     0.00     0.00
        6   12.924       0.0000      -12.924         0.00     0.00     0.00
        7   10.155       0.0000      -15.198         0.00     0.00     0.00
        8   6.9947       0.0000      -16.887         0.00     0.00     0.00
        9   3.5659       0.0000      -17.927         0.00     0.00     0.00
       10   0.0000      -42.750       0.0000         0.00     0.00     0.00
       11   0.0000      -6.4757      -19.135         0.00     0.00     0.00
       12   0.0000      -13.002      -19.421         0.00     0.00     0.00
       13   0.0000      -19.513      -18.953         0.00     0.00     0.00
       14   0.0000      -25.846      -17.375         0.00     0.00     0.00
       15   0.0000      -31.879      -14.880         0.00     0.00     0.00
       16   0.0000      -37.393      -11.398         0.00     0.00     0.00
       17   0.0000      -41.449      -6.3469         0.00     0.00     0.00
       18   19.135      -6.4757       0.0000         0.00     0.00     0.00
       19   19.421      -13.002       0.0000         0.00     0.00     0.00
       20   18.953      -19.513       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   17.375      -25.846       0.0000         0.00     0.00     0.00
       22   14.880      -31.879       0.0000         0.00     0.00     0.00
       23   11.398      -37.393       0.0000         0.00     0.00     0.00
       24   6.3469      -41.449       0.0000         0.00     0.00     0.00
       25   13.547      -17.913      -13.555         0.00     0.00     0.00
       26   13.420      -4.8919      -13.420         0.00     0.00     0.00
       27   13.687      -9.8099      -13.687         0.00     0.00     0.00
       28   13.714      -14.459      -13.716         0.00     0.00     0.00
       29   4.3407      -24.095      -17.391         0.00     0.00     0.00
       30   8.3403      -21.956      -16.493         0.00     0.00     0.00
       31   11.579      -19.678      -14.971         0.00     0.00     0.00
       32   17.382      -24.100      -4.3718         0.00     0.00     0.00
       33   16.475      -21.959      -8.3761         0.00     0.00     0.00
       34   14.956      -19.679      -11.598         0.00     0.00     0.00
       35   15.797      -5.0616      -10.553         0.00     0.00     0.00
       36   17.595      -5.4775      -7.2784         0.00     0.00     0.00
       37   18.725      -5.9729      -3.7123         0.00     0.00     0.00
       38   16.063      -10.202      -10.828         0.00     0.00     0.00
       39   17.895      -11.050      -7.4899         0.00     0.00     0.00
       40   19.036      -12.043      -3.8265         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   15.884      -15.186      -11.086         0.00     0.00     0.00
       42   17.637      -16.613      -7.7993         0.00     0.00     0.00
       43   18.716      -18.130      -4.0074         0.00     0.00     0.00
       44   3.9974      -18.128      -18.718         0.00     0.00     0.00
       45   3.8247      -12.043      -19.037         0.00     0.00     0.00
       46   3.7123      -5.9729      -18.725         0.00     0.00     0.00
       47   7.7891      -16.612      -17.642         0.00     0.00     0.00
       48   7.4886      -11.050      -17.895         0.00     0.00     0.00
       49   7.2784      -5.4775      -17.595         0.00     0.00     0.00
       50   11.081      -15.186      -15.887         0.00     0.00     0.00
       51   10.828      -10.202      -16.063         0.00     0.00     0.00
       52   10.553      -5.0616      -15.797         0.00     0.00     0.00
       53   15.038      -29.789      -5.0319         0.00     0.00     0.00
       54   11.633      -35.093      -5.9368         0.00     0.00     0.00
       55   6.6565      -39.424      -6.7062         0.00     0.00     0.00
       56   14.149      -26.900      -9.4357         0.00     0.00     0.00
       57   10.647      -31.398      -10.732         0.00     0.00     0.00
       58   5.8590      -35.082      -11.680         0.00     0.00     0.00
       59   12.780      -23.461      -12.822         0.00     0.00     0.00
       60   9.3658      -26.895      -14.198         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   4.9686      -29.779      -15.063         0.00     0.00     0.00
      123  -18.278       0.0000       0.0000         0.00     0.00     0.00
      124  -3.5659       0.0000      -17.927         0.00     0.00     0.00
      125  -6.9947       0.0000      -16.887         0.00     0.00     0.00
      126  -10.155       0.0000      -15.198         0.00     0.00     0.00
      127  -12.924       0.0000      -12.924         0.00     0.00     0.00
      128  -15.198       0.0000      -10.155         0.00     0.00     0.00
      129  -16.887       0.0000      -6.9947         0.00     0.00     0.00
      130  -17.927       0.0000      -3.5659         0.00     0.00     0.00
      131  -19.135      -6.4757       0.0000         0.00     0.00     0.00
      132  -19.421      -13.002       0.0000         0.00     0.00     0.00
      133  -18.953      -19.513       0.0000         0.00     0.00     0.00
      134  -17.375      -25.846       0.0000         0.00     0.00     0.00
      135  -14.880      -31.879       0.0000         0.00     0.00     0.00
      136  -11.398      -37.393       0.0000         0.00     0.00     0.00
      137  -6.3469      -41.449       0.0000         0.00     0.00     0.00
      138  -13.555      -17.913      -13.547         0.00     0.00     0.00
      139  -13.420      -4.8919      -13.420         0.00     0.00     0.00
      140  -13.687      -9.8099      -13.687         0.00     0.00     0.00
      141  -13.716      -14.459      -13.714         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      142  -17.391      -24.095      -4.3407         0.00     0.00     0.00
      143  -16.493      -21.956      -8.3403         0.00     0.00     0.00
      144  -14.971      -19.678      -11.579         0.00     0.00     0.00
      145  -4.3718      -24.100      -17.382         0.00     0.00     0.00
      146  -8.3761      -21.959      -16.475         0.00     0.00     0.00
      147  -11.598      -19.679      -14.956         0.00     0.00     0.00
      148  -10.553      -5.0616      -15.797         0.00     0.00     0.00
      149  -7.2784      -5.4775      -17.595         0.00     0.00     0.00
      150  -3.7123      -5.9729      -18.725         0.00     0.00     0.00
      151  -10.828      -10.202      -16.063         0.00     0.00     0.00
      152  -7.4899      -11.050      -17.895         0.00     0.00     0.00
      153  -3.8265      -12.043      -19.036         0.00     0.00     0.00
      154  -11.086      -15.186      -15.884         0.00     0.00     0.00
      155  -7.7993      -16.613      -17.637         0.00     0.00     0.00
      156  -4.0074      -18.130      -18.716         0.00     0.00     0.00
      157  -18.718      -18.128      -3.9974         0.00     0.00     0.00
      158  -19.037      -12.043      -3.8247         0.00     0.00     0.00
      159  -18.725      -5.9729      -3.7123         0.00     0.00     0.00
      160  -17.642      -16.612      -7.7891         0.00     0.00     0.00
      161  -17.895      -11.050      -7.4886         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      162  -17.595      -5.4775      -7.2784         0.00     0.00     0.00
      163  -15.887      -15.186      -11.081         0.00     0.00     0.00
      164  -16.063      -10.202      -10.828         0.00     0.00     0.00
      165  -15.797      -5.0616      -10.553         0.00     0.00     0.00
      166  -5.0319      -29.789      -15.038         0.00     0.00     0.00
      167  -5.9368      -35.093      -11.633         0.00     0.00     0.00
      168  -6.7062      -39.424      -6.6565         0.00     0.00     0.00
      169  -9.4357      -26.900      -14.149         0.00     0.00     0.00
      170  -10.732      -31.398      -10.647         0.00     0.00     0.00
      171  -11.680      -35.082      -5.8590         0.00     0.00     0.00
      172  -12.822      -23.461      -12.780         0.00     0.00     0.00
      173  -14.198      -26.895      -9.3658         0.00     0.00     0.00
      174  -15.063      -29.779      -4.9686         0.00     0.00     0.00
      227   0.0000       0.0000       18.278         0.00     0.00     0.00
      228  -17.927       0.0000       3.5659         0.00     0.00     0.00
      229  -16.887       0.0000       6.9947         0.00     0.00     0.00
      230  -15.198       0.0000       10.155         0.00     0.00     0.00
      231  -12.924       0.0000       12.924         0.00     0.00     0.00
      232  -10.155       0.0000       15.198         0.00     0.00     0.00
      233  -6.9947       0.0000       16.887         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      234  -3.5659       0.0000       17.927         0.00     0.00     0.00
      235   0.0000      -6.4757       19.135         0.00     0.00     0.00
      236   0.0000      -13.002       19.421         0.00     0.00     0.00
      237   0.0000      -19.513       18.953         0.00     0.00     0.00
      238   0.0000      -25.846       17.375         0.00     0.00     0.00
      239   0.0000      -31.879       14.880         0.00     0.00     0.00
      240   0.0000      -37.393       11.398         0.00     0.00     0.00
      241   0.0000      -41.449       6.3469         0.00     0.00     0.00
      242  -13.547      -17.913       13.555         0.00     0.00     0.00
      243  -13.420      -4.8919       13.420         0.00     0.00     0.00
      244  -13.687      -9.8099       13.687         0.00     0.00     0.00
      245  -13.714      -14.459       13.716         0.00     0.00     0.00
      246  -4.3407      -24.095       17.391         0.00     0.00     0.00
      247  -8.3403      -21.956       16.493         0.00     0.00     0.00
      248  -11.579      -19.678       14.971         0.00     0.00     0.00
      249  -17.382      -24.100       4.3718         0.00     0.00     0.00
      250  -16.475      -21.959       8.3761         0.00     0.00     0.00
      251  -14.956      -19.679       11.598         0.00     0.00     0.00
      252  -15.797      -5.0616       10.553         0.00     0.00     0.00
      253  -17.595      -5.4775       7.2784         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      254  -18.725      -5.9729       3.7123         0.00     0.00     0.00
      255  -16.063      -10.202       10.828         0.00     0.00     0.00
      256  -17.895      -11.050       7.4899         0.00     0.00     0.00
      257  -19.036      -12.043       3.8265         0.00     0.00     0.00
      258  -15.884      -15.186       11.086         0.00     0.00     0.00
      259  -17.637      -16.613       7.7993         0.00     0.00     0.00
      260  -18.716      -18.130       4.0074         0.00     0.00     0.00
      261  -3.9974      -18.128       18.718         0.00     0.00     0.00
      262  -3.8247      -12.043       19.037         0.00     0.00     0.00
      263  -3.7123      -5.9729       18.725         0.00     0.00     0.00
      264  -7.7891      -16.612       17.642         0.00     0.00     0.00
      265  -7.4886      -11.050       17.895         0.00     0.00     0.00
      266  -7.2784      -5.4775       17.595         0.00     0.00     0.00
      267  -11.081      -15.186       15.887         0.00     0.00     0.00
      268  -10.828      -10.202       16.063         0.00     0.00     0.00
      269  -10.553      -5.0616       15.797         0.00     0.00     0.00
      270  -15.038      -29.789       5.0319         0.00     0.00     0.00
      271  -11.633      -35.093       5.9368         0.00     0.00     0.00
      272  -6.6565      -39.424       6.7062         0.00     0.00     0.00
      273  -14.149      -26.900       9.4357         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      274  -10.647      -31.398       10.732         0.00     0.00     0.00
      275  -5.8590      -35.082       11.680         0.00     0.00     0.00
      276  -12.780      -23.461       12.822         0.00     0.00     0.00
      277  -9.3658      -26.895       14.198         0.00     0.00     0.00
      278  -4.9686      -29.779       15.063         0.00     0.00     0.00
      331   3.5659       0.0000       17.927         0.00     0.00     0.00
      332   6.9947       0.0000       16.887         0.00     0.00     0.00
      333   10.155       0.0000       15.198         0.00     0.00     0.00
      334   12.924       0.0000       12.924         0.00     0.00     0.00
      335   15.198       0.0000       10.155         0.00     0.00     0.00
      336   16.887       0.0000       6.9947         0.00     0.00     0.00
      337   17.927       0.0000       3.5659         0.00     0.00     0.00
      338   13.547      -17.913       13.555         0.00     0.00     0.00
      339   13.420      -4.8919       13.420         0.00     0.00     0.00
      340   13.687      -9.8099       13.687         0.00     0.00     0.00
      341   13.714      -14.459       13.716         0.00     0.00     0.00
      342   17.382      -24.100       4.3718         0.00     0.00     0.00
      343   16.475      -21.959       8.3761         0.00     0.00     0.00
      344   14.956      -19.679       11.598         0.00     0.00     0.00
      345   4.3407      -24.095       17.391         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      346   8.3403      -21.956       16.493         0.00     0.00     0.00
      347   11.579      -19.678       14.971         0.00     0.00     0.00
      348   10.553      -5.0616       15.797         0.00     0.00     0.00
      349   7.2784      -5.4775       17.595         0.00     0.00     0.00
      350   3.7123      -5.9729       18.725         0.00     0.00     0.00
      351   10.828      -10.202       16.063         0.00     0.00     0.00
      352   7.4886      -11.050       17.895         0.00     0.00     0.00
      353   3.8247      -12.043       19.037         0.00     0.00     0.00
      354   11.081      -15.186       15.887         0.00     0.00     0.00
      355   7.7891      -16.612       17.642         0.00     0.00     0.00
      356   3.9974      -18.128       18.718         0.00     0.00     0.00
      357   18.716      -18.130       4.0074         0.00     0.00     0.00
      358   19.036      -12.043       3.8265         0.00     0.00     0.00
      359   18.725      -5.9729       3.7123         0.00     0.00     0.00
