
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.245       0.0000      -1.1036         0.00     0.00     0.00
        4   18.145       0.0000      -2.2032         0.00     0.00     0.00
        5   17.979       0.0000      -3.2947         0.00     0.00     0.00
        6   17.747       0.0000      -4.3742         0.00     0.00     0.00
        7   17.450       0.0000      -5.4378         0.00     0.00     0.00
        8   17.090       0.0000      -6.4815         0.00     0.00     0.00
        9   16.668       0.0000      -7.5015         0.00     0.00     0.00
       10   16.184       0.0000      -8.4942         0.00     0.00     0.00
       11   15.642       0.0000      -9.4559         0.00     0.00     0.00
       12   15.042       0.0000      -10.383         0.00     0.00     0.00
       13   14.388       0.0000      -11.272         0.00     0.00     0.00
       14   13.681       0.0000      -12.121         0.00     0.00     0.00
       15   12.924       0.0000      -12.924         0.00     0.00     0.00
       16   12.121       0.0000      -13.681         0.00     0.00     0.00
       17   11.272       0.0000      -14.388         0.00     0.00     0.00
       18   10.383       0.0000      -15.042         0.00     0.00     0.00
       19   9.4559       0.0000      -15.642         0.00     0.00     0.00
       20   8.4942       0.0000      -16.184         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   7.5015       0.0000      -16.668         0.00     0.00     0.00
       22   6.4815       0.0000      -17.090         0.00     0.00     0.00
       23   5.4378       0.0000      -17.450         0.00     0.00     0.00
       24   4.3742       0.0000      -17.747         0.00     0.00     0.00
       25   3.2947       0.0000      -17.979         0.00     0.00     0.00
       26   2.2032       0.0000      -18.145         0.00     0.00     0.00
       27   1.1036       0.0000      -18.245         0.00     0.00     0.00
     1095   20.403       0.0000       0.0000         0.00     0.00     0.00
     1096   22.528       0.0000       0.0000         0.00     0.00     0.00
     1097   24.653       0.0000       0.0000         0.00     0.00     0.00
     1098   0.0000       0.0000      -20.403         0.00     0.00     0.00
     1099   0.0000       0.0000      -22.528         0.00     0.00     0.00
     1100   0.0000       0.0000      -24.653         0.00     0.00     0.00
     1101   24.608       0.0000      -1.4885         0.00     0.00     0.00
     1102   24.473       0.0000      -2.9716         0.00     0.00     0.00
     1103   24.249       0.0000      -4.4438         0.00     0.00     0.00
     1104   23.937       0.0000      -5.8998         0.00     0.00     0.00
     1105   23.537       0.0000      -7.3343         0.00     0.00     0.00
     1106   23.051       0.0000      -8.7421         0.00     0.00     0.00
     1107   22.481       0.0000      -10.118         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1108   21.829       0.0000      -11.457         0.00     0.00     0.00
     1109   21.098       0.0000      -12.754         0.00     0.00     0.00
     1110   20.289       0.0000      -14.005         0.00     0.00     0.00
     1111   19.406       0.0000      -15.204         0.00     0.00     0.00
     1112   18.453       0.0000      -16.348         0.00     0.00     0.00
     1113   17.432       0.0000      -17.432         0.00     0.00     0.00
     1114   16.348       0.0000      -18.453         0.00     0.00     0.00
     1115   15.204       0.0000      -19.406         0.00     0.00     0.00
     1116   14.005       0.0000      -20.289         0.00     0.00     0.00
     1117   12.754       0.0000      -21.098         0.00     0.00     0.00
     1118   11.457       0.0000      -21.829         0.00     0.00     0.00
     1119   10.118       0.0000      -22.481         0.00     0.00     0.00
     1120   8.7421       0.0000      -23.051         0.00     0.00     0.00
     1121   7.3343       0.0000      -23.537         0.00     0.00     0.00
     1122   5.8998       0.0000      -23.937         0.00     0.00     0.00
     1123   4.4438       0.0000      -24.249         0.00     0.00     0.00
     1124   2.9716       0.0000      -24.473         0.00     0.00     0.00
     1125   1.4885       0.0000      -24.608         0.00     0.00     0.00
     1126   22.487       0.0000      -1.3602         0.00     0.00     0.00
     1127   22.364       0.0000      -2.7155         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1128   22.159       0.0000      -4.0608         0.00     0.00     0.00
     1129   21.873       0.0000      -5.3913         0.00     0.00     0.00
     1130   21.508       0.0000      -6.7021         0.00     0.00     0.00
     1131   21.064       0.0000      -7.9885         0.00     0.00     0.00
     1132   20.543       0.0000      -9.2458         0.00     0.00     0.00
     1133   19.948       0.0000      -10.469         0.00     0.00     0.00
     1134   19.279       0.0000      -11.655         0.00     0.00     0.00
     1135   18.540       0.0000      -12.797         0.00     0.00     0.00
     1136   17.734       0.0000      -13.893         0.00     0.00     0.00
     1137   16.862       0.0000      -14.939         0.00     0.00     0.00
     1138   15.930       0.0000      -15.930         0.00     0.00     0.00
     1139   14.939       0.0000      -16.862         0.00     0.00     0.00
     1140   13.893       0.0000      -17.734         0.00     0.00     0.00
     1141   12.797       0.0000      -18.540         0.00     0.00     0.00
     1142   11.655       0.0000      -19.279         0.00     0.00     0.00
     1143   10.469       0.0000      -19.948         0.00     0.00     0.00
     1144   9.2458       0.0000      -20.543         0.00     0.00     0.00
     1145   7.9885       0.0000      -21.064         0.00     0.00     0.00
     1146   6.7021       0.0000      -21.508         0.00     0.00     0.00
     1147   5.3913       0.0000      -21.873         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1148   4.0608       0.0000      -22.159         0.00     0.00     0.00
     1149   2.7155       0.0000      -22.364         0.00     0.00     0.00
     1150   1.3602       0.0000      -22.487         0.00     0.00     0.00
     1151   20.366       0.0000      -1.2319         0.00     0.00     0.00
     1152   20.254       0.0000      -2.4593         0.00     0.00     0.00
     1153   20.069       0.0000      -3.6777         0.00     0.00     0.00
     1154   19.810       0.0000      -4.8828         0.00     0.00     0.00
     1155   19.479       0.0000      -6.0700         0.00     0.00     0.00
     1156   19.077       0.0000      -7.2350         0.00     0.00     0.00
     1157   18.605       0.0000      -8.3737         0.00     0.00     0.00
     1158   18.066       0.0000      -9.4817         0.00     0.00     0.00
     1159   17.461       0.0000      -10.555         0.00     0.00     0.00
     1160   16.791       0.0000      -11.590         0.00     0.00     0.00
     1161   16.061       0.0000      -12.583         0.00     0.00     0.00
     1162   15.272       0.0000      -13.530         0.00     0.00     0.00
     1163   14.427       0.0000      -14.427         0.00     0.00     0.00
     1164   13.530       0.0000      -15.272         0.00     0.00     0.00
     1165   12.583       0.0000      -16.061         0.00     0.00     0.00
     1166   11.590       0.0000      -16.791         0.00     0.00     0.00
     1167   10.555       0.0000      -17.461         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1168   9.4817       0.0000      -18.066         0.00     0.00     0.00
     1169   8.3737       0.0000      -18.605         0.00     0.00     0.00
     1170   7.2350       0.0000      -19.077         0.00     0.00     0.00
     1171   6.0700       0.0000      -19.479         0.00     0.00     0.00
     1172   4.8828       0.0000      -19.810         0.00     0.00     0.00
     1173   3.6777       0.0000      -20.069         0.00     0.00     0.00
     1174   2.4593       0.0000      -20.254         0.00     0.00     0.00
     1175   1.2319       0.0000      -20.366         0.00     0.00     0.00
     2736  -18.278       0.0000       0.0000         0.00     0.00     0.00
     2737  -1.1036       0.0000      -18.245         0.00     0.00     0.00
     2738  -2.2032       0.0000      -18.145         0.00     0.00     0.00
     2739  -3.2947       0.0000      -17.979         0.00     0.00     0.00
     2740  -4.3742       0.0000      -17.747         0.00     0.00     0.00
     2741  -5.4378       0.0000      -17.450         0.00     0.00     0.00
     2742  -6.4815       0.0000      -17.090         0.00     0.00     0.00
     2743  -7.5015       0.0000      -16.668         0.00     0.00     0.00
     2744  -8.4942       0.0000      -16.184         0.00     0.00     0.00
     2745  -9.4559       0.0000      -15.642         0.00     0.00     0.00
     2746  -10.383       0.0000      -15.042         0.00     0.00     0.00
     2747  -11.272       0.0000      -14.388         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2748  -12.121       0.0000      -13.681         0.00     0.00     0.00
     2749  -12.924       0.0000      -12.924         0.00     0.00     0.00
     2750  -13.681       0.0000      -12.121         0.00     0.00     0.00
     2751  -14.388       0.0000      -11.272         0.00     0.00     0.00
     2752  -15.042       0.0000      -10.383         0.00     0.00     0.00
     2753  -15.642       0.0000      -9.4559         0.00     0.00     0.00
     2754  -16.184       0.0000      -8.4942         0.00     0.00     0.00
     2755  -16.668       0.0000      -7.5015         0.00     0.00     0.00
     2756  -17.090       0.0000      -6.4815         0.00     0.00     0.00
     2757  -17.450       0.0000      -5.4378         0.00     0.00     0.00
     2758  -17.747       0.0000      -4.3742         0.00     0.00     0.00
     2759  -17.979       0.0000      -3.2947         0.00     0.00     0.00
     2760  -18.145       0.0000      -2.2032         0.00     0.00     0.00
     2761  -18.245       0.0000      -1.1036         0.00     0.00     0.00
     3776  -20.403       0.0000       0.0000         0.00     0.00     0.00
     3777  -22.528       0.0000       0.0000         0.00     0.00     0.00
     3778  -24.653       0.0000       0.0000         0.00     0.00     0.00
     3779  -1.4885       0.0000      -24.608         0.00     0.00     0.00
     3780  -2.9716       0.0000      -24.473         0.00     0.00     0.00
     3781  -4.4438       0.0000      -24.249         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     3782  -5.8998       0.0000      -23.937         0.00     0.00     0.00
     3783  -7.3343       0.0000      -23.537         0.00     0.00     0.00
     3784  -8.7421       0.0000      -23.051         0.00     0.00     0.00
     3785  -10.118       0.0000      -22.481         0.00     0.00     0.00
     3786  -11.457       0.0000      -21.829         0.00     0.00     0.00
     3787  -12.754       0.0000      -21.098         0.00     0.00     0.00
     3788  -14.005       0.0000      -20.289         0.00     0.00     0.00
     3789  -15.204       0.0000      -19.406         0.00     0.00     0.00
     3790  -16.348       0.0000      -18.453         0.00     0.00     0.00
     3791  -17.432       0.0000      -17.432         0.00     0.00     0.00
     3792  -18.453       0.0000      -16.348         0.00     0.00     0.00
     3793  -19.406       0.0000      -15.204         0.00     0.00     0.00
     3794  -20.289       0.0000      -14.005         0.00     0.00     0.00
     3795  -21.098       0.0000      -12.754         0.00     0.00     0.00
     3796  -21.829       0.0000      -11.457         0.00     0.00     0.00
     3797  -22.481       0.0000      -10.118         0.00     0.00     0.00
     3798  -23.051       0.0000      -8.7421         0.00     0.00     0.00
     3799  -23.537       0.0000      -7.3343         0.00     0.00     0.00
     3800  -23.937       0.0000      -5.8998         0.00     0.00     0.00
     3801  -24.249       0.0000      -4.4438         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     3802  -24.473       0.0000      -2.9716         0.00     0.00     0.00
     3803  -24.608       0.0000      -1.4885         0.00     0.00     0.00
     3804  -1.3602       0.0000      -22.487         0.00     0.00     0.00
     3805  -2.7155       0.0000      -22.364         0.00     0.00     0.00
     3806  -4.0608       0.0000      -22.159         0.00     0.00     0.00
     3807  -5.3913       0.0000      -21.873         0.00     0.00     0.00
     3808  -6.7021       0.0000      -21.508         0.00     0.00     0.00
     3809  -7.9885       0.0000      -21.064         0.00     0.00     0.00
     3810  -9.2458       0.0000      -20.543         0.00     0.00     0.00
     3811  -10.469       0.0000      -19.948         0.00     0.00     0.00
     3812  -11.655       0.0000      -19.279         0.00     0.00     0.00
     3813  -12.797       0.0000      -18.540         0.00     0.00     0.00
     3814  -13.893       0.0000      -17.734         0.00     0.00     0.00
     3815  -14.939       0.0000      -16.862         0.00     0.00     0.00
     3816  -15.930       0.0000      -15.930         0.00     0.00     0.00
     3817  -16.862       0.0000      -14.939         0.00     0.00     0.00
     3818  -17.734       0.0000      -13.893         0.00     0.00     0.00
     3819  -18.540       0.0000      -12.797         0.00     0.00     0.00
     3820  -19.279       0.0000      -11.655         0.00     0.00     0.00
     3821  -19.948       0.0000      -10.469         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     3822  -20.543       0.0000      -9.2458         0.00     0.00     0.00
     3823  -21.064       0.0000      -7.9885         0.00     0.00     0.00
     3824  -21.508       0.0000      -6.7021         0.00     0.00     0.00
     3825  -21.873       0.0000      -5.3913         0.00     0.00     0.00
     3826  -22.159       0.0000      -4.0608         0.00     0.00     0.00
     3827  -22.364       0.0000      -2.7155         0.00     0.00     0.00
     3828  -22.487       0.0000      -1.3602         0.00     0.00     0.00
     3829  -1.2319       0.0000      -20.366         0.00     0.00     0.00
