
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
      548   0.0000       0.0000      -26.778         0.00     0.00     0.00
      575   26.778       0.0000       0.0000         0.00     0.00     0.00
      576   26.729       0.0000      -1.6168         0.00     0.00     0.00
      577   26.583       0.0000      -3.2277         0.00     0.00     0.00
      578   26.339       0.0000      -4.8269         0.00     0.00     0.00
      579   26.000       0.0000      -6.4084         0.00     0.00     0.00
      580   25.566       0.0000      -7.9665         0.00     0.00     0.00
      581   25.038       0.0000      -9.4956         0.00     0.00     0.00
      582   24.419       0.0000      -10.990         0.00     0.00     0.00
      583   23.711       0.0000      -12.444         0.00     0.00     0.00
      584   22.916       0.0000      -13.853         0.00     0.00     0.00
      585   22.038       0.0000      -15.212         0.00     0.00     0.00
      586   21.079       0.0000      -16.514         0.00     0.00     0.00
      587   20.044       0.0000      -17.757         0.00     0.00     0.00
      588   18.935       0.0000      -18.935         0.00     0.00     0.00
      589   17.757       0.0000      -20.044         0.00     0.00     0.00
      590   16.514       0.0000      -21.079         0.00     0.00     0.00
      591   15.212       0.0000      -22.038         0.00     0.00     0.00
      592   13.853       0.0000      -22.916         0.00     0.00     0.00
      593   12.444       0.0000      -23.711         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      594   10.990       0.0000      -24.419         0.00     0.00     0.00
      595   9.4956       0.0000      -25.038         0.00     0.00     0.00
      596   7.9665       0.0000      -25.566         0.00     0.00     0.00
      597   6.4084       0.0000      -26.000         0.00     0.00     0.00
      598   4.8269       0.0000      -26.339         0.00     0.00     0.00
      599   3.2277       0.0000      -26.583         0.00     0.00     0.00
      600   1.6168       0.0000      -26.729         0.00     0.00     0.00
     3256  -26.778       0.0000       0.0000         0.00     0.00     0.00
     3282  -1.6168       0.0000      -26.729         0.00     0.00     0.00
     3283  -3.2277       0.0000      -26.583         0.00     0.00     0.00
     3284  -4.8269       0.0000      -26.339         0.00     0.00     0.00
     3285  -6.4084       0.0000      -26.000         0.00     0.00     0.00
     3286  -7.9665       0.0000      -25.566         0.00     0.00     0.00
     3287  -9.4956       0.0000      -25.038         0.00     0.00     0.00
     3288  -10.990       0.0000      -24.419         0.00     0.00     0.00
     3289  -12.444       0.0000      -23.711         0.00     0.00     0.00
     3290  -13.853       0.0000      -22.916         0.00     0.00     0.00
     3291  -15.212       0.0000      -22.038         0.00     0.00     0.00
     3292  -16.514       0.0000      -21.079         0.00     0.00     0.00
     3293  -17.757       0.0000      -20.044         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     3294  -18.935       0.0000      -18.935         0.00     0.00     0.00
     3295  -20.044       0.0000      -17.757         0.00     0.00     0.00
     3296  -21.079       0.0000      -16.514         0.00     0.00     0.00
     3297  -22.038       0.0000      -15.212         0.00     0.00     0.00
     3298  -22.916       0.0000      -13.853         0.00     0.00     0.00
     3299  -23.711       0.0000      -12.444         0.00     0.00     0.00
     3300  -24.419       0.0000      -10.990         0.00     0.00     0.00
     3301  -25.038       0.0000      -9.4956         0.00     0.00     0.00
     3302  -25.566       0.0000      -7.9665         0.00     0.00     0.00
     3303  -26.000       0.0000      -6.4084         0.00     0.00     0.00
     3304  -26.339       0.0000      -4.8269         0.00     0.00     0.00
     3305  -26.583       0.0000      -3.2277         0.00     0.00     0.00
     3306  -26.729       0.0000      -1.6168         0.00     0.00     0.00
     5856   0.0000       0.0000       26.778         0.00     0.00     0.00
     5882  -26.729       0.0000       1.6168         0.00     0.00     0.00
     5883  -26.583       0.0000       3.2277         0.00     0.00     0.00
     5884  -26.339       0.0000       4.8269         0.00     0.00     0.00
     5885  -26.000       0.0000       6.4084         0.00     0.00     0.00
     5886  -25.566       0.0000       7.9665         0.00     0.00     0.00
     5887  -25.038       0.0000       9.4956         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     5888  -24.419       0.0000       10.990         0.00     0.00     0.00
     5889  -23.711       0.0000       12.444         0.00     0.00     0.00
     5890  -22.916       0.0000       13.853         0.00     0.00     0.00
     5891  -22.038       0.0000       15.212         0.00     0.00     0.00
     5892  -21.079       0.0000       16.514         0.00     0.00     0.00
     5893  -20.044       0.0000       17.757         0.00     0.00     0.00
     5894  -18.935       0.0000       18.935         0.00     0.00     0.00
     5895  -17.757       0.0000       20.044         0.00     0.00     0.00
     5896  -16.514       0.0000       21.079         0.00     0.00     0.00
     5897  -15.212       0.0000       22.038         0.00     0.00     0.00
     5898  -13.853       0.0000       22.916         0.00     0.00     0.00
     5899  -12.444       0.0000       23.711         0.00     0.00     0.00
     5900  -10.990       0.0000       24.419         0.00     0.00     0.00
     5901  -9.4956       0.0000       25.038         0.00     0.00     0.00
     5902  -7.9665       0.0000       25.566         0.00     0.00     0.00
     5903  -6.4084       0.0000       26.000         0.00     0.00     0.00
     5904  -4.8269       0.0000       26.339         0.00     0.00     0.00
     5905  -3.2277       0.0000       26.583         0.00     0.00     0.00
     5906  -1.6168       0.0000       26.729         0.00     0.00     0.00
     8430   1.6168       0.0000       26.729         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     8431   3.2277       0.0000       26.583         0.00     0.00     0.00
     8432   4.8269       0.0000       26.339         0.00     0.00     0.00
     8433   6.4084       0.0000       26.000         0.00     0.00     0.00
     8434   7.9665       0.0000       25.566         0.00     0.00     0.00
     8435   9.4956       0.0000       25.038         0.00     0.00     0.00
     8436   10.990       0.0000       24.419         0.00     0.00     0.00
     8437   12.444       0.0000       23.711         0.00     0.00     0.00
     8438   13.853       0.0000       22.916         0.00     0.00     0.00
     8439   15.212       0.0000       22.038         0.00     0.00     0.00
     8440   16.514       0.0000       21.079         0.00     0.00     0.00
     8441   17.757       0.0000       20.044         0.00     0.00     0.00
     8442   18.935       0.0000       18.935         0.00     0.00     0.00
     8443   20.044       0.0000       17.757         0.00     0.00     0.00
     8444   21.079       0.0000       16.514         0.00     0.00     0.00
     8445   22.038       0.0000       15.212         0.00     0.00     0.00
     8446   22.916       0.0000       13.853         0.00     0.00     0.00
     8447   23.711       0.0000       12.444         0.00     0.00     0.00
     8448   24.419       0.0000       10.990         0.00     0.00     0.00
     8449   25.038       0.0000       9.4956         0.00     0.00     0.00
     8450   25.566       0.0000       7.9665         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
