e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
1,0.0228,0.132,3.45,0.132,3.45,0.032584011692265547,0.0,0.9994690001105778,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
2,0.0228,0.132,3.45,0.132,3.45,0.09758618759529586,0.0,0.9952270776011952,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
3,0.0228,0.132,3.45,0.132,3.45,0.16237486409262286,0.0,0.986729143945238,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
4,0.0228,0.132,3.45,0.132,3.45,0.2267180440567172,0.0,0.9739604347708876,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
5,0.0228,0.132,3.45,0.132,3.45,0.2901204318100175,0.0,0.9569901436516308,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
6,0.0228,0.132,3.45,0.132,3.45,0.35199020049317536,0.0,0.9360036852260647,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
7,0.0228,0.132,3.45,0.132,3.45,0.411736977233755,0.0,0.9113027277356357,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
8,0.0228,0.132,3.45,0.132,3.45,0.4688172512585373,0.0,0.8832951856103313,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
9,0.0228,0.132,3.45,0.132,3.45,0.5227367369060467,0.0,0.8524941664837471,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
10,0.0228,0.132,3.45,0.132,3.45,0.572998163854307,0.0,0.8195566510129685,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
11,0.0228,0.132,3.45,0.132,3.45,0.6189966630165207,0.0,0.7853936154403166,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
12,0.0228,0.132,3.45,0.132,3.45,0.6596224946213474,0.0,0.7515970759585955,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
13,0.0228,0.132,3.45,0.132,3.45,0.6928146127619136,0.0,0.7211157412950848,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
14,0.0228,0.132,3.45,0.132,3.45,0.0310666241983674,0.0,0.999517315938507,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
15,0.0228,0.132,3.45,0.132,3.45,0.09321640275350604,0.0,0.9956458719131497,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
16,0.0228,0.132,3.45,0.132,3.45,0.1554372905232287,0.0,0.9878457616018794,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
17,0.0228,0.132,3.45,0.132,3.45,0.21756374049301316,0.0,0.9760461151106994,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
18,0.0228,0.132,3.45,0.132,3.45,0.27917143201973393,0.0,0.9602412777755656,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
19,0.0228,0.132,3.45,0.132,3.45,0.3397169806331115,0.0,0.9405277098892526,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
