
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000       18.278         0.00     0.00     0.00
        3   18.256       0.0000      0.89686         0.00     0.00     0.00
        4   18.190       0.0000       1.7916         0.00     0.00     0.00
        5   18.080       0.0000       2.6819         0.00     0.00     0.00
        6   17.927       0.0000       3.5659         0.00     0.00     0.00
        7   17.730       0.0000       4.4412         0.00     0.00     0.00
        8   17.491       0.0000       5.3058         0.00     0.00     0.00
        9   17.210       0.0000       6.1577         0.00     0.00     0.00
       10   16.887       0.0000       6.9947         0.00     0.00     0.00
       11   16.523       0.0000       7.8149         0.00     0.00     0.00
       12   16.120       0.0000       8.6162         0.00     0.00     0.00
       13   15.678       0.0000       9.3968         0.00     0.00     0.00
       14   15.198       0.0000       10.155         0.00     0.00     0.00
       15   14.681       0.0000       10.888         0.00     0.00     0.00
       16   14.129       0.0000       11.595         0.00     0.00     0.00
       17   13.543       0.0000       12.275         0.00     0.00     0.00
       18   12.924       0.0000       12.924         0.00     0.00     0.00
       19   12.275       0.0000       13.543         0.00     0.00     0.00
       20   11.595       0.0000       14.129         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   10.888       0.0000       14.681         0.00     0.00     0.00
       22   10.155       0.0000       15.198         0.00     0.00     0.00
       23   9.3968       0.0000       15.678         0.00     0.00     0.00
       24   8.6162       0.0000       16.120         0.00     0.00     0.00
       25   7.8149       0.0000       16.523         0.00     0.00     0.00
       26   6.9947       0.0000       16.887         0.00     0.00     0.00
       27   6.1577       0.0000       17.210         0.00     0.00     0.00
       28   5.3058       0.0000       17.491         0.00     0.00     0.00
       29   4.4412       0.0000       17.730         0.00     0.00     0.00
       30   3.5659       0.0000       17.927         0.00     0.00     0.00
       31   2.6819       0.0000       18.080         0.00     0.00     0.00
       32   1.7916       0.0000       18.190         0.00     0.00     0.00
       33  0.89686       0.0000       18.256         0.00     0.00     0.00
     1635   19.978       0.0000       0.0000         0.00     0.00     0.00
     1636   21.678       0.0000       0.0000         0.00     0.00     0.00
     1637   23.378       0.0000       0.0000         0.00     0.00     0.00
     1638   25.078       0.0000       0.0000         0.00     0.00     0.00
     1639   0.0000       0.0000       19.978         0.00     0.00     0.00
     1640   0.0000       0.0000       21.678         0.00     0.00     0.00
     1641   0.0000       0.0000       23.378         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1642   0.0000       0.0000       25.078         0.00     0.00     0.00
     1643   25.048       0.0000       1.2305         0.00     0.00     0.00
     1644   24.957       0.0000       2.4581         0.00     0.00     0.00
     1645   24.807       0.0000       3.6797         0.00     0.00     0.00
     1646   24.596       0.0000       4.8925         0.00     0.00     0.00
     1647   24.326       0.0000       6.0935         0.00     0.00     0.00
     1648   23.998       0.0000       7.2798         0.00     0.00     0.00
     1649   23.612       0.0000       8.4485         0.00     0.00     0.00
     1650   23.169       0.0000       9.5969         0.00     0.00     0.00
     1651   22.670       0.0000       10.722         0.00     0.00     0.00
     1652   22.117       0.0000       11.822         0.00     0.00     0.00
     1653   21.510       0.0000       12.893         0.00     0.00     0.00
     1654   20.852       0.0000       13.933         0.00     0.00     0.00
     1655   20.143       0.0000       14.939         0.00     0.00     0.00
     1656   19.386       0.0000       15.909         0.00     0.00     0.00
     1657   18.582       0.0000       16.841         0.00     0.00     0.00
     1658   17.733       0.0000       17.733         0.00     0.00     0.00
     1659   16.841       0.0000       18.582         0.00     0.00     0.00
     1660   15.909       0.0000       19.386         0.00     0.00     0.00
     1661   14.939       0.0000       20.143         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1662   13.933       0.0000       20.852         0.00     0.00     0.00
     1663   12.893       0.0000       21.510         0.00     0.00     0.00
     1664   11.822       0.0000       22.117         0.00     0.00     0.00
     1665   10.722       0.0000       22.670         0.00     0.00     0.00
     1666   9.5969       0.0000       23.169         0.00     0.00     0.00
     1667   8.4485       0.0000       23.612         0.00     0.00     0.00
     1668   7.2798       0.0000       23.998         0.00     0.00     0.00
     1669   6.0935       0.0000       24.326         0.00     0.00     0.00
     1670   4.8925       0.0000       24.596         0.00     0.00     0.00
     1671   3.6797       0.0000       24.807         0.00     0.00     0.00
     1672   2.4581       0.0000       24.957         0.00     0.00     0.00
     1673   1.2305       0.0000       25.048         0.00     0.00     0.00
     1674   23.350       0.0000       1.1471         0.00     0.00     0.00
     1675   23.265       0.0000       2.2914         0.00     0.00     0.00
     1676   23.125       0.0000       3.4303         0.00     0.00     0.00
     1677   22.929       0.0000       4.5608         0.00     0.00     0.00
     1678   22.677       0.0000       5.6804         0.00     0.00     0.00
     1679   22.371       0.0000       6.7863         0.00     0.00     0.00
     1680   22.011       0.0000       7.8758         0.00     0.00     0.00
     1681   21.598       0.0000       8.9464         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1682   21.133       0.0000       9.9954         0.00     0.00     0.00
     1683   20.618       0.0000       11.020         0.00     0.00     0.00
     1684   20.052       0.0000       12.019         0.00     0.00     0.00
     1685   19.438       0.0000       12.988         0.00     0.00     0.00
     1686   18.777       0.0000       13.926         0.00     0.00     0.00
     1687   18.071       0.0000       14.831         0.00     0.00     0.00
     1688   17.322       0.0000       15.700         0.00     0.00     0.00
     1689   16.531       0.0000       16.531         0.00     0.00     0.00
     1690   15.700       0.0000       17.322         0.00     0.00     0.00
     1691   14.831       0.0000       18.071         0.00     0.00     0.00
     1692   13.926       0.0000       18.777         0.00     0.00     0.00
     1693   12.988       0.0000       19.438         0.00     0.00     0.00
     1694   12.019       0.0000       20.052         0.00     0.00     0.00
     1695   11.020       0.0000       20.618         0.00     0.00     0.00
     1696   9.9954       0.0000       21.133         0.00     0.00     0.00
     1697   8.9464       0.0000       21.598         0.00     0.00     0.00
     1698   7.8758       0.0000       22.011         0.00     0.00     0.00
     1699   6.7863       0.0000       22.371         0.00     0.00     0.00
     1700   5.6804       0.0000       22.677         0.00     0.00     0.00
     1701   4.5608       0.0000       22.929         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1702   3.4303       0.0000       23.125         0.00     0.00     0.00
     1703   2.2914       0.0000       23.265         0.00     0.00     0.00
     1704   1.1471       0.0000       23.350         0.00     0.00     0.00
     1705   21.652       0.0000       1.0637         0.00     0.00     0.00
     1706   21.574       0.0000       2.1248         0.00     0.00     0.00
     1707   21.443       0.0000       3.1808         0.00     0.00     0.00
     1708   21.261       0.0000       4.2292         0.00     0.00     0.00
     1709   21.028       0.0000       5.2673         0.00     0.00     0.00
     1710   20.745       0.0000       6.2928         0.00     0.00     0.00
     1711   20.411       0.0000       7.3031         0.00     0.00     0.00
     1712   20.028       0.0000       8.2958         0.00     0.00     0.00
     1713   19.597       0.0000       9.2685         0.00     0.00     0.00
     1714   19.118       0.0000       10.219         0.00     0.00     0.00
     1715   18.594       0.0000       11.145         0.00     0.00     0.00
     1716   18.025       0.0000       12.044         0.00     0.00     0.00
     1717   17.412       0.0000       12.914         0.00     0.00     0.00
     1718   16.757       0.0000       13.752         0.00     0.00     0.00
     1719   16.062       0.0000       14.558         0.00     0.00     0.00
     1720   15.329       0.0000       15.329         0.00     0.00     0.00
     1721   14.558       0.0000       16.062         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1722   13.752       0.0000       16.757         0.00     0.00     0.00
     1723   12.914       0.0000       17.412         0.00     0.00     0.00
     1724   12.044       0.0000       18.025         0.00     0.00     0.00
     1725   11.145       0.0000       18.594         0.00     0.00     0.00
     1726   10.219       0.0000       19.118         0.00     0.00     0.00
     1727   9.2685       0.0000       19.597         0.00     0.00     0.00
     1728   8.2958       0.0000       20.028         0.00     0.00     0.00
     1729   7.3031       0.0000       20.411         0.00     0.00     0.00
     1730   6.2928       0.0000       20.745         0.00     0.00     0.00
     1731   5.2673       0.0000       21.028         0.00     0.00     0.00
     1732   4.2292       0.0000       21.261         0.00     0.00     0.00
     1733   3.1808       0.0000       21.443         0.00     0.00     0.00
     1734   2.1248       0.0000       21.574         0.00     0.00     0.00
     1735   1.0637       0.0000       21.652         0.00     0.00     0.00
     1736   19.954       0.0000      0.98027         0.00     0.00     0.00
     1737   19.882       0.0000       1.9582         0.00     0.00     0.00
     1738   19.762       0.0000       2.9314         0.00     0.00     0.00
     1739   19.594       0.0000       3.8975         0.00     0.00     0.00
     1740   19.379       0.0000       4.8543         0.00     0.00     0.00
     1741   19.118       0.0000       5.7993         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1742   18.810       0.0000       6.7304         0.00     0.00     0.00
     1743   18.457       0.0000       7.6452         0.00     0.00     0.00
     1744   18.060       0.0000       8.5417         0.00     0.00     0.00
     1745   17.619       0.0000       9.4176         0.00     0.00     0.00
     1746   17.136       0.0000       10.271         0.00     0.00     0.00
     1747   16.611       0.0000       11.099         0.00     0.00     0.00
     1748   16.046       0.0000       11.901         0.00     0.00     0.00
     1749   15.443       0.0000       12.674         0.00     0.00     0.00
     1750   14.803       0.0000       13.416         0.00     0.00     0.00
     1751   14.127       0.0000       14.127         0.00     0.00     0.00
     1752   13.416       0.0000       14.803         0.00     0.00     0.00
     1753   12.674       0.0000       15.443         0.00     0.00     0.00
     1754   11.901       0.0000       16.046         0.00     0.00     0.00
     1755   11.099       0.0000       16.611         0.00     0.00     0.00
     1756   10.271       0.0000       17.136         0.00     0.00     0.00
     1757   9.4176       0.0000       17.619         0.00     0.00     0.00
     1758   8.5417       0.0000       18.060         0.00     0.00     0.00
     1759   7.6452       0.0000       18.457         0.00     0.00     0.00
     1760   6.7304       0.0000       18.810         0.00     0.00     0.00
     1761   5.7993       0.0000       19.118         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1762   4.8543       0.0000       19.379         0.00     0.00     0.00
     1763   3.8975       0.0000       19.594         0.00     0.00     0.00
     1764   2.9314       0.0000       19.762         0.00     0.00     0.00
     1765   1.9582       0.0000       19.882         0.00     0.00     0.00
     1766  0.98027       0.0000       19.954         0.00     0.00     0.00
     4903  -18.278       0.0000       0.0000         0.00     0.00     0.00
     4904 -0.89686       0.0000       18.256         0.00     0.00     0.00
     4905  -1.7916       0.0000       18.190         0.00     0.00     0.00
     4906  -2.6819       0.0000       18.080         0.00     0.00     0.00
     4907  -3.5659       0.0000       17.927         0.00     0.00     0.00
     4908  -4.4412       0.0000       17.730         0.00     0.00     0.00
     4909  -5.3058       0.0000       17.491         0.00     0.00     0.00
     4910  -6.1577       0.0000       17.210         0.00     0.00     0.00
     4911  -6.9947       0.0000       16.887         0.00     0.00     0.00
     4912  -7.8149       0.0000       16.523         0.00     0.00     0.00
     4913  -8.6162       0.0000       16.120         0.00     0.00     0.00
     4914  -9.3968       0.0000       15.678         0.00     0.00     0.00
     4915  -10.155       0.0000       15.198         0.00     0.00     0.00
     4916  -10.888       0.0000       14.681         0.00     0.00     0.00
     4917  -11.595       0.0000       14.129         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     4918  -12.275       0.0000       13.543         0.00     0.00     0.00
     4919  -12.924       0.0000       12.924         0.00     0.00     0.00
     4920  -13.543       0.0000       12.275         0.00     0.00     0.00
     4921  -14.129       0.0000       11.595         0.00     0.00     0.00
     4922  -14.681       0.0000       10.888         0.00     0.00     0.00
     4923  -15.198       0.0000       10.155         0.00     0.00     0.00
     4924  -15.678       0.0000       9.3968         0.00     0.00     0.00
     4925  -16.120       0.0000       8.6162         0.00     0.00     0.00
     4926  -16.523       0.0000       7.8149         0.00     0.00     0.00
     4927  -16.887       0.0000       6.9947         0.00     0.00     0.00
     4928  -17.210       0.0000       6.1577         0.00     0.00     0.00
     4929  -17.491       0.0000       5.3058         0.00     0.00     0.00
     4930  -17.730       0.0000       4.4412         0.00     0.00     0.00
     4931  -17.927       0.0000       3.5659         0.00     0.00     0.00
     4932  -18.080       0.0000       2.6819         0.00     0.00     0.00
     4933  -18.190       0.0000       1.7916         0.00     0.00     0.00
