e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
1,0.0228,0.132,3.45,0.132,3.45,0.019854754943103806,0.0,0.9998028749239268,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
2,0.0228,0.132,3.45,0.132,3.45,0.05952058797175131,0.0,0.9982270781778547,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
3,0.0228,0.132,3.45,0.132,3.45,0.09924433114194263,0.0,0.9950630948518734,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
4,0.0228,0.132,3.45,0.132,3.45,0.13904670365343455,0.0,0.9902858244987223,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
5,0.0228,0.132,3.45,0.132,3.45,0.1788402588584651,0.0,0.9838781234540371,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
6,0.0228,0.132,3.45,0.132,3.45,0.21849317521541978,0.0,0.975838476585282,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
7,0.0228,0.132,3.45,0.132,3.45,0.25784782764953884,0.0,0.966185540036909,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
8,0.0228,0.132,3.45,0.132,3.45,0.29675042311119004,0.0,0.9549550703479874,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
9,0.0228,0.132,3.45,0.132,3.45,0.3350493946005508,0.0,0.9422005641994726,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
10,0.0228,0.132,3.45,0.132,3.45,0.37260076496714983,0.0,0.9279917402358142,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
11,0.0228,0.132,3.45,0.132,3.45,0.4092656194277789,0.0,0.9124152852481136,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
12,0.0228,0.132,3.45,0.132,3.45,0.4449135544728704,0.0,0.8955735196209835,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
13,0.0228,0.132,3.45,0.132,3.45,0.47943379957656734,0.0,0.8775780488501156,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
14,0.0228,0.132,3.45,0.132,3.45,0.5127164662578777,0.0,0.8585579917676118,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
15,0.0228,0.132,3.45,0.132,3.45,0.5446580469998227,0.0,0.8386582211117583,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
16,0.0228,0.132,3.45,0.132,3.45,0.5751526745134449,0.0,0.8180460873325117,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
17,0.0228,0.132,3.45,0.132,3.45,0.6041016053802233,0.0,0.7969073035033856,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
18,0.0228,0.132,3.45,0.132,3.45,0.6313821948289354,0.0,0.7754718073876034,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
19,0.0228,0.132,3.45,0.132,3.45,0.6567636808780007,0.0,0.7540964576760586,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
20,0.0228,0.132,3.45,0.132,3.45,0.6796511465543903,0.0,0.7335354926568329,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
21,0.0228,0.132,3.45,0.132,3.45,0.6987522922547382,0.0,0.7153637075423583,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
22,0.0228,0.132,3.45,0.132,3.45,0.01933256422751318,0.0,0.9998131085159813,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
23,0.0228,0.132,3.45,0.132,3.45,0.05797547228537263,0.0,0.9983180077576923,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
24,0.0228,0.132,3.45,0.132,3.45,0.09671137527434889,0.0,0.9953124684703513,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
25,0.0228,0.132,3.45,0.132,3.45,0.13557219639795526,0.0,0.9907674699766006,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
26,0.0228,0.132,3.45,0.132,3.45,0.174483313781862,0.0,0.9846601308125056,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
27,0.0228,0.132,3.45,0.132,3.45,0.21332459912307827,0.0,0.9769813792539641,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
28,0.0228,0.132,3.45,0.132,3.45,0.25195590644126725,0.0,0.9677387153614139,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
29,0.0228,0.132,3.45,0.132,3.45,0.29023480660202894,0.0,0.9569554624101808,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
30,0.0228,0.132,3.45,0.132,3.45,0.32801535312028335,0.0,0.9446723919525625,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
31,0.0228,0.132,3.45,0.132,3.45,0.3651562323947487,0.0,0.930946252983099,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
32,0.0228,0.132,3.45,0.132,3.45,0.40151839971684294,0.0,0.9158509565910958,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
33,0.0228,0.132,3.45,0.132,3.45,0.4369733085206267,0.0,0.8994744730344142,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
34,0.0228,0.132,3.45,0.132,3.45,0.47140327653724795,0.0,0.8819177687686914,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
35,0.0228,0.132,3.45,0.132,3.45,0.504686379133639,0.0,0.8633027619074185,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
36,0.0228,0.132,3.45,0.132,3.45,0.5367188098248772,0.0,0.8437611742549944,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
37,0.0228,0.132,3.45,0.132,3.45,0.5673928647223639,0.0,0.8234472278550393,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
38,0.0228,0.132,3.45,0.132,3.45,0.596625995097978,0.0,0.8025194215552341,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
39,0.0228,0.132,3.45,0.132,3.45,0.6243119973938455,0.0,0.7811750955516357,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
40,0.0228,0.132,3.45,0.132,3.45,0.6503215526381041,0.0,0.7596590539013969,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
41,0.0228,0.132,3.45,0.132,3.45,0.6744887866410484,0.0,0.7382850917467361,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
42,0.0228,0.132,3.45,0.132,3.45,0.6966305124507458,0.0,0.7174300865747208,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
43,0.0228,0.132,3.45,0.132,3.45,0.019049677837308106,0.0,0.9998185384229953,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
44,0.0228,0.132,3.45,0.132,3.45,0.057142818777677656,0.0,0.9983660141762347,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
45,0.0228,0.132,3.45,0.132,3.45,0.09534629389437842,0.0,0.9954441643008447,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
46,0.0228,0.132,3.45,0.132,3.45,0.13369557390816791,0.0,0.9910224485436068,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
47,0.0228,0.132,3.45,0.132,3.45,0.17212274896097465,0.0,0.9850755094357577,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
48,0.0228,0.132,3.45,0.132,3.45,0.21051474702618758,0.0,0.9775906818727867,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
49,0.0228,0.132,3.45,0.132,3.45,0.24874540435403952,0.0,0.9685689050412186,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
50,0.0228,0.132,3.45,0.132,3.45,0.28667134554282875,0.0,0.9580289868499096,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
51,0.0228,0.132,3.45,0.132,3.45,0.3241554123026249,0.0,0.9460038417865517,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
52,0.0228,0.132,3.45,0.132,3.45,0.3610666236211699,0.0,0.9325400223619406,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
53,0.0228,0.132,3.45,0.132,3.45,0.3972632662825068,0.0,0.9177046895720615,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
