
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.272       0.0000     -0.44856         0.00     0.00     0.00
        4   18.256       0.0000     -0.89686         0.00     0.00     0.00
        5   18.228       0.0000      -1.3446         0.00     0.00     0.00
        6   18.190       0.0000      -1.7916         0.00     0.00     0.00
        7   18.141       0.0000      -2.2374         0.00     0.00     0.00
        8   18.080       0.0000      -2.6819         0.00     0.00     0.00
        9   18.009       0.0000      -3.1248         0.00     0.00     0.00
       10   17.927       0.0000      -3.5659         0.00     0.00     0.00
       11   17.834       0.0000      -4.0047         0.00     0.00     0.00
       12   17.730       0.0000      -4.4412         0.00     0.00     0.00
       13   17.616       0.0000      -4.8750         0.00     0.00     0.00
       14   17.491       0.0000      -5.3058         0.00     0.00     0.00
       15   17.355       0.0000      -5.7335         0.00     0.00     0.00
       16   17.210       0.0000      -6.1577         0.00     0.00     0.00
       17   17.053       0.0000      -6.5782         0.00     0.00     0.00
       18   16.887       0.0000      -6.9947         0.00     0.00     0.00
       19   16.710       0.0000      -7.4070         0.00     0.00     0.00
       20   16.523       0.0000      -7.8149         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   16.326       0.0000      -8.2180         0.00     0.00     0.00
       22   16.120       0.0000      -8.6162         0.00     0.00     0.00
       23   15.903       0.0000      -9.0092         0.00     0.00     0.00
       24   15.678       0.0000      -9.3968         0.00     0.00     0.00
       25   15.442       0.0000      -9.7787         0.00     0.00     0.00
       26   15.198       0.0000      -10.155         0.00     0.00     0.00
       27   14.944       0.0000      -10.525         0.00     0.00     0.00
       28   14.681       0.0000      -10.888         0.00     0.00     0.00
       29   14.409       0.0000      -11.245         0.00     0.00     0.00
       30   14.129       0.0000      -11.595         0.00     0.00     0.00
       31   13.840       0.0000      -11.939         0.00     0.00     0.00
       32   13.543       0.0000      -12.275         0.00     0.00     0.00
       33   13.238       0.0000      -12.603         0.00     0.00     0.00
       34   12.924       0.0000      -12.924         0.00     0.00     0.00
       35   12.603       0.0000      -13.238         0.00     0.00     0.00
       36   12.275       0.0000      -13.543         0.00     0.00     0.00
       37   11.939       0.0000      -13.840         0.00     0.00     0.00
       38   11.595       0.0000      -14.129         0.00     0.00     0.00
       39   11.245       0.0000      -14.409         0.00     0.00     0.00
       40   10.888       0.0000      -14.681         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   10.525       0.0000      -14.944         0.00     0.00     0.00
       42   10.155       0.0000      -15.198         0.00     0.00     0.00
       43   9.7787       0.0000      -15.442         0.00     0.00     0.00
       44   9.3968       0.0000      -15.678         0.00     0.00     0.00
       45   9.0092       0.0000      -15.903         0.00     0.00     0.00
       46   8.6162       0.0000      -16.120         0.00     0.00     0.00
       47   8.2180       0.0000      -16.326         0.00     0.00     0.00
       48   7.8149       0.0000      -16.523         0.00     0.00     0.00
       49   7.4070       0.0000      -16.710         0.00     0.00     0.00
       50   6.9947       0.0000      -16.887         0.00     0.00     0.00
       51   6.5782       0.0000      -17.053         0.00     0.00     0.00
       52   6.1577       0.0000      -17.210         0.00     0.00     0.00
       53   5.7335       0.0000      -17.355         0.00     0.00     0.00
       54   5.3058       0.0000      -17.491         0.00     0.00     0.00
       55   4.8750       0.0000      -17.616         0.00     0.00     0.00
       56   4.4412       0.0000      -17.730         0.00     0.00     0.00
       57   4.0047       0.0000      -17.834         0.00     0.00     0.00
       58   3.5659       0.0000      -17.927         0.00     0.00     0.00
       59   3.1248       0.0000      -18.009         0.00     0.00     0.00
       60   2.6819       0.0000      -18.080         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   2.2374       0.0000      -18.141         0.00     0.00     0.00
       62   1.7916       0.0000      -18.190         0.00     0.00     0.00
       63   1.3446       0.0000      -18.228         0.00     0.00     0.00
       64  0.89686       0.0000      -18.256         0.00     0.00     0.00
       65  0.44856       0.0000      -18.272         0.00     0.00     0.00
     6339   19.222       0.0000       0.0000         0.00     0.00     0.00
     6340   20.167       0.0000       0.0000         0.00     0.00     0.00
     6341   21.111       0.0000       0.0000         0.00     0.00     0.00
     6342   22.056       0.0000       0.0000         0.00     0.00     0.00
     6343   23.000       0.0000       0.0000         0.00     0.00     0.00
     6344   23.945       0.0000       0.0000         0.00     0.00     0.00
     6345   24.889       0.0000       0.0000         0.00     0.00     0.00
     6346   25.834       0.0000       0.0000         0.00     0.00     0.00
     6347   0.0000       0.0000      -19.222         0.00     0.00     0.00
     6348   0.0000       0.0000      -20.167         0.00     0.00     0.00
     6349   0.0000       0.0000      -21.111         0.00     0.00     0.00
     6350   0.0000       0.0000      -22.056         0.00     0.00     0.00
     6351   0.0000       0.0000      -23.000         0.00     0.00     0.00
     6352   0.0000       0.0000      -23.945         0.00     0.00     0.00
     6353   0.0000       0.0000      -24.889         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     6354   0.0000       0.0000      -25.834         0.00     0.00     0.00
     6355   25.826       0.0000     -0.63399         0.00     0.00     0.00
     6356   25.802       0.0000      -1.2676         0.00     0.00     0.00
     6357   25.764       0.0000      -1.9004         0.00     0.00     0.00
     6358   25.709       0.0000      -2.5321         0.00     0.00     0.00
     6359   25.639       0.0000      -3.1623         0.00     0.00     0.00
     6360   25.554       0.0000      -3.7906         0.00     0.00     0.00
     6361   25.453       0.0000      -4.4166         0.00     0.00     0.00
     6362   25.337       0.0000      -5.0399         0.00     0.00     0.00
     6363   25.206       0.0000      -5.6602         0.00     0.00     0.00
     6364   25.059       0.0000      -6.2770         0.00     0.00     0.00
     6365   24.898       0.0000      -6.8901         0.00     0.00     0.00
     6366   24.721       0.0000      -7.4991         0.00     0.00     0.00
     6367   24.530       0.0000      -8.1035         0.00     0.00     0.00
     6368   24.323       0.0000      -8.7031         0.00     0.00     0.00
     6369   24.103       0.0000      -9.2974         0.00     0.00     0.00
     6370   23.867       0.0000      -9.8861         0.00     0.00     0.00
     6371   23.617       0.0000      -10.469         0.00     0.00     0.00
     6372   23.353       0.0000      -11.045         0.00     0.00     0.00
     6373   23.075       0.0000      -11.615         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     6374   22.783       0.0000      -12.178         0.00     0.00     0.00
     6375   22.477       0.0000      -12.733         0.00     0.00     0.00
     6376   22.158       0.0000      -13.281         0.00     0.00     0.00
     6377   21.826       0.0000      -13.821         0.00     0.00     0.00
     6378   21.480       0.0000      -14.352         0.00     0.00     0.00
     6379   21.121       0.0000      -14.875         0.00     0.00     0.00
     6380   20.750       0.0000      -15.389         0.00     0.00     0.00
     6381   20.366       0.0000      -15.894         0.00     0.00     0.00
     6382   19.970       0.0000      -16.389         0.00     0.00     0.00
     6383   19.561       0.0000      -16.874         0.00     0.00     0.00
     6384   19.141       0.0000      -17.349         0.00     0.00     0.00
     6385   18.710       0.0000      -17.813         0.00     0.00     0.00
     6386   18.267       0.0000      -18.267         0.00     0.00     0.00
     6387   17.813       0.0000      -18.710         0.00     0.00     0.00
     6388   17.349       0.0000      -19.141         0.00     0.00     0.00
     6389   16.874       0.0000      -19.561         0.00     0.00     0.00
     6390   16.389       0.0000      -19.970         0.00     0.00     0.00
     6391   15.894       0.0000      -20.366         0.00     0.00     0.00
     6392   15.389       0.0000      -20.750         0.00     0.00     0.00
     6393   14.875       0.0000      -21.121         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     6394   14.352       0.0000      -21.480         0.00     0.00     0.00
     6395   13.821       0.0000      -21.826         0.00     0.00     0.00
     6396   13.281       0.0000      -22.158         0.00     0.00     0.00
     6397   12.733       0.0000      -22.477         0.00     0.00     0.00
     6398   12.178       0.0000      -22.783         0.00     0.00     0.00
     6399   11.615       0.0000      -23.075         0.00     0.00     0.00
     6400   11.045       0.0000      -23.353         0.00     0.00     0.00
     6401   10.469       0.0000      -23.617         0.00     0.00     0.00
     6402   9.8861       0.0000      -23.867         0.00     0.00     0.00
     6403   9.2974       0.0000      -24.103         0.00     0.00     0.00
     6404   8.7031       0.0000      -24.323         0.00     0.00     0.00
     6405   8.1035       0.0000      -24.530         0.00     0.00     0.00
     6406   7.4991       0.0000      -24.721         0.00     0.00     0.00
     6407   6.8901       0.0000      -24.898         0.00     0.00     0.00
     6408   6.2770       0.0000      -25.059         0.00     0.00     0.00
     6409   5.6602       0.0000      -25.206         0.00     0.00     0.00
     6410   5.0399       0.0000      -25.337         0.00     0.00     0.00
     6411   4.4166       0.0000      -25.453         0.00     0.00     0.00
     6412   3.7906       0.0000      -25.554         0.00     0.00     0.00
     6413   3.1623       0.0000      -25.639         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     6414   2.5321       0.0000      -25.709         0.00     0.00     0.00
     6415   1.9004       0.0000      -25.764         0.00     0.00     0.00
     6416   1.2676       0.0000      -25.802         0.00     0.00     0.00
     6417  0.63399       0.0000      -25.826         0.00     0.00     0.00
     6418   24.882       0.0000     -0.61081         0.00     0.00     0.00
     6419   24.859       0.0000      -1.2213         0.00     0.00     0.00
     6420   24.822       0.0000      -1.8310         0.00     0.00     0.00
     6421   24.769       0.0000      -2.4396         0.00     0.00     0.00
     6422   24.702       0.0000      -3.0467         0.00     0.00     0.00
     6423   24.620       0.0000      -3.6520         0.00     0.00     0.00
     6424   24.523       0.0000      -4.2551         0.00     0.00     0.00
     6425   24.411       0.0000      -4.8556         0.00     0.00     0.00
     6426   24.284       0.0000      -5.4532         0.00     0.00     0.00
     6427   24.143       0.0000      -6.0476         0.00     0.00     0.00
     6428   23.988       0.0000      -6.6382         0.00     0.00     0.00
     6429   23.817       0.0000      -7.2249         0.00     0.00     0.00
     6430   23.633       0.0000      -7.8073         0.00     0.00     0.00
     6431   23.434       0.0000      -8.3849         0.00     0.00     0.00
     6432   23.221       0.0000      -8.9575         0.00     0.00     0.00
     6433   22.995       0.0000      -9.5247         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     6434   22.754       0.0000      -10.086         0.00     0.00     0.00
     6435   22.499       0.0000      -10.641         0.00     0.00     0.00
     6436   22.232       0.0000      -11.190         0.00     0.00     0.00
     6437   21.950       0.0000      -11.733         0.00     0.00     0.00
     6438   21.656       0.0000      -12.268         0.00     0.00     0.00
     6439   21.348       0.0000      -12.796         0.00     0.00     0.00
     6440   21.028       0.0000      -13.316         0.00     0.00     0.00
     6441   20.695       0.0000      -13.828         0.00     0.00     0.00
     6442   20.349       0.0000      -14.331         0.00     0.00     0.00
     6443   19.991       0.0000      -14.826         0.00     0.00     0.00
     6444   19.621       0.0000      -15.313         0.00     0.00     0.00
     6445   19.240       0.0000      -15.789         0.00     0.00     0.00
     6446   18.846       0.0000      -16.257         0.00     0.00     0.00
     6447   18.442       0.0000      -16.715         0.00     0.00     0.00
     6448   18.026       0.0000      -17.162         0.00     0.00     0.00
     6449   17.599       0.0000      -17.599         0.00     0.00     0.00
     6450   17.162       0.0000      -18.026         0.00     0.00     0.00
     6451   16.715       0.0000      -18.442         0.00     0.00     0.00
     6452   16.257       0.0000      -18.846         0.00     0.00     0.00
     6453   15.789       0.0000      -19.240         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     6454   15.313       0.0000      -19.621         0.00     0.00     0.00
     6455   14.826       0.0000      -19.991         0.00     0.00     0.00
     6456   14.331       0.0000      -20.349         0.00     0.00     0.00
     6457   13.828       0.0000      -20.695         0.00     0.00     0.00
     6458   13.316       0.0000      -21.028         0.00     0.00     0.00
     6459   12.796       0.0000      -21.348         0.00     0.00     0.00
     6460   12.268       0.0000      -21.656         0.00     0.00     0.00
     6461   11.733       0.0000      -21.950         0.00     0.00     0.00
     6462   11.190       0.0000      -22.232         0.00     0.00     0.00
     6463   10.641       0.0000      -22.499         0.00     0.00     0.00
     6464   10.086       0.0000      -22.754         0.00     0.00     0.00
     6465   9.5247       0.0000      -22.995         0.00     0.00     0.00
