
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
      921   0.0000       0.0000      -26.778         0.00     0.00     0.00
      955   26.778       0.0000       0.0000         0.00     0.00     0.00
      956   26.749       0.0000      -1.2367         0.00     0.00     0.00
      957   26.664       0.0000      -2.4708         0.00     0.00     0.00
      958   26.521       0.0000      -3.6996         0.00     0.00     0.00
      959   26.322       0.0000      -4.9204         0.00     0.00     0.00
      960   26.067       0.0000      -6.1308         0.00     0.00     0.00
      961   25.756       0.0000      -7.3281         0.00     0.00     0.00
      962   25.390       0.0000      -8.5098         0.00     0.00     0.00
      963   24.970       0.0000      -9.6733         0.00     0.00     0.00
      964   24.496       0.0000      -10.816         0.00     0.00     0.00
      965   23.971       0.0000      -11.936         0.00     0.00     0.00
      966   23.394       0.0000      -13.030         0.00     0.00     0.00
      967   22.767       0.0000      -14.097         0.00     0.00     0.00
      968   22.092       0.0000      -15.133         0.00     0.00     0.00
      969   21.369       0.0000      -16.137         0.00     0.00     0.00
      970   20.601       0.0000      -17.107         0.00     0.00     0.00
      971   19.789       0.0000      -18.040         0.00     0.00     0.00
      972   18.935       0.0000      -18.935         0.00     0.00     0.00
      973   18.040       0.0000      -19.789         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      974   17.107       0.0000      -20.601         0.00     0.00     0.00
      975   16.137       0.0000      -21.369         0.00     0.00     0.00
      976   15.133       0.0000      -22.092         0.00     0.00     0.00
      977   14.097       0.0000      -22.767         0.00     0.00     0.00
      978   13.030       0.0000      -23.394         0.00     0.00     0.00
      979   11.936       0.0000      -23.971         0.00     0.00     0.00
      980   10.816       0.0000      -24.496         0.00     0.00     0.00
      981   9.6733       0.0000      -24.970         0.00     0.00     0.00
      982   8.5098       0.0000      -25.390         0.00     0.00     0.00
      983   7.3281       0.0000      -25.756         0.00     0.00     0.00
      984   6.1308       0.0000      -26.067         0.00     0.00     0.00
      985   4.9204       0.0000      -26.322         0.00     0.00     0.00
      986   3.6996       0.0000      -26.521         0.00     0.00     0.00
      987   2.4708       0.0000      -26.664         0.00     0.00     0.00
      988   1.2367       0.0000      -26.749         0.00     0.00     0.00
     6399  -26.778       0.0000       0.0000         0.00     0.00     0.00
     6433  -1.2367       0.0000      -26.749         0.00     0.00     0.00
     6434  -2.4708       0.0000      -26.664         0.00     0.00     0.00
     6435  -3.6996       0.0000      -26.521         0.00     0.00     0.00
     6436  -4.9204       0.0000      -26.322         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     6437  -6.1308       0.0000      -26.067         0.00     0.00     0.00
     6438  -7.3281       0.0000      -25.756         0.00     0.00     0.00
     6439  -8.5098       0.0000      -25.390         0.00     0.00     0.00
     6440  -9.6733       0.0000      -24.970         0.00     0.00     0.00
