e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
1,0.0228,0.132,3.45,0.132,3.45,0.02347662686111992,0.0,0.9997243860140772,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
2,0.0228,0.132,3.45,0.132,3.45,0.07058666120590806,0.0,0.9975056507407878,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
3,0.0228,0.132,3.45,0.132,3.45,0.11801267583852902,0.0,0.9930120887186773,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
4,0.0228,0.132,3.45,0.132,3.45,0.16574316219850174,0.0,0.9861689531639298,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
5,0.0228,0.132,3.45,0.132,3.45,0.21360313058872918,0.0,0.976920520105241,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
6,0.0228,0.132,3.45,0.132,3.45,0.26134578418355303,0.0,0.9652452440128797,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
7,0.0228,0.132,3.45,0.132,3.45,0.308699684802375,0.0,0.9511595579096676,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
8,0.0228,0.132,3.45,0.132,3.45,0.35537459283544537,0.0,0.9347239692909568,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
9,0.0228,0.132,3.45,0.132,3.45,0.4010913809262049,0.0,0.9160380473248422,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
10,0.0228,0.132,3.45,0.132,3.45,0.4455662915436204,0.0,0.895248948527763,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
11,0.0228,0.132,3.45,0.132,3.45,0.48853007601357035,0.0,0.8725470559403518,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
12,0.0228,0.132,3.45,0.132,3.45,0.5297299937523321,0.0,0.8481663361152423,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
13,0.0228,0.132,3.45,0.132,3.45,0.5688977698964754,0.0,0.8224082486252292,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
14,0.0228,0.132,3.45,0.132,3.45,0.6057719247045812,0.0,0.7956383445006324,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
15,0.0228,0.132,3.45,0.132,3.45,0.6399745152767271,0.0,0.7683961346833533,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
16,0.0228,0.132,3.45,0.132,3.45,0.6706448530602274,0.0,0.7417785930207382,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
17,0.0228,0.132,3.45,0.132,3.45,0.6960617255977394,0.0,0.7179819455654142,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
18,0.0228,0.132,3.45,0.132,3.45,0.02279326925124831,0.0,0.9997401996903196,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
19,0.0228,0.132,3.45,0.132,3.45,0.06856033334164323,0.0,0.9976469719755996,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
20,0.0228,0.132,3.45,0.132,3.45,0.11469177770413931,0.0,0.9934011254911402,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
21,0.0228,0.132,3.45,0.132,3.45,0.1611938943465384,0.0,0.9869227570713915,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
22,0.0228,0.132,3.45,0.132,3.45,0.20791625199684993,0.0,0.9781466312141459,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
23,0.0228,0.132,3.45,0.132,3.45,0.25463186116921305,0.0,0.9670380629931289,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
24,0.0228,0.132,3.45,0.132,3.45,0.30108637143960365,0.0,0.9535968733869323,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
25,0.0228,0.132,3.45,0.132,3.45,0.34701295410699545,0.0,0.9378603359146479,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
26,0.0228,0.132,3.45,0.132,3.45,0.39214358526006593,0.0,0.919904021373633,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
27,0.0228,0.132,3.45,0.132,3.45,0.43619980250378687,0.0,0.8998498387484756,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
28,0.0228,0.132,3.45,0.132,3.45,0.4789150403836444,0.0,0.877861255606108,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
