
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.266       0.0000     -0.65238         0.00     0.00     0.00
        4   18.231       0.0000      -1.3039         0.00     0.00     0.00
        5   18.173       0.0000      -1.9538         0.00     0.00     0.00
        6   18.092       0.0000      -2.6012         0.00     0.00     0.00
        7   17.988       0.0000      -3.2453         0.00     0.00     0.00
        8   17.860       0.0000      -3.8853         0.00     0.00     0.00
        9   17.710       0.0000      -4.5203         0.00     0.00     0.00
       10   17.538       0.0000      -5.1495         0.00     0.00     0.00
       11   17.343       0.0000      -5.7722         0.00     0.00     0.00
       12   17.126       0.0000      -6.3875         0.00     0.00     0.00
       13   16.887       0.0000      -6.9947         0.00     0.00     0.00
       14   16.626       0.0000      -7.5930         0.00     0.00     0.00
       15   16.345       0.0000      -8.1815         0.00     0.00     0.00
       16   16.042       0.0000      -8.7597         0.00     0.00     0.00
       17   15.719       0.0000      -9.3267         0.00     0.00     0.00
       18   15.376       0.0000      -9.8818         0.00     0.00     0.00
       19   15.014       0.0000      -10.424         0.00     0.00     0.00
       20   14.632       0.0000      -10.954         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   14.232       0.0000      -11.469         0.00     0.00     0.00
       22   13.814       0.0000      -11.970         0.00     0.00     0.00
       23   13.378       0.0000      -12.455         0.00     0.00     0.00
       24   12.924       0.0000      -12.924         0.00     0.00     0.00
       25   12.455       0.0000      -13.378         0.00     0.00     0.00
       26   11.970       0.0000      -13.814         0.00     0.00     0.00
       27   11.469       0.0000      -14.232         0.00     0.00     0.00
       28   10.954       0.0000      -14.632         0.00     0.00     0.00
       29   10.424       0.0000      -15.014         0.00     0.00     0.00
       30   9.8818       0.0000      -15.376         0.00     0.00     0.00
       31   9.3267       0.0000      -15.719         0.00     0.00     0.00
       32   8.7597       0.0000      -16.042         0.00     0.00     0.00
       33   8.1815       0.0000      -16.345         0.00     0.00     0.00
       34   7.5930       0.0000      -16.626         0.00     0.00     0.00
       35   6.9947       0.0000      -16.887         0.00     0.00     0.00
       36   6.3875       0.0000      -17.126         0.00     0.00     0.00
       37   5.7722       0.0000      -17.343         0.00     0.00     0.00
       38   5.1495       0.0000      -17.538         0.00     0.00     0.00
       39   4.5203       0.0000      -17.710         0.00     0.00     0.00
       40   3.8853       0.0000      -17.860         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   3.2453       0.0000      -17.988         0.00     0.00     0.00
       42   2.6012       0.0000      -18.092         0.00     0.00     0.00
       43   1.9538       0.0000      -18.173         0.00     0.00     0.00
       44   1.3039       0.0000      -18.231         0.00     0.00     0.00
       45  0.65238       0.0000      -18.266         0.00     0.00     0.00
     2313   19.695       0.0000       0.0000         0.00     0.00     0.00
     2314   21.111       0.0000       0.0000         0.00     0.00     0.00
     2315   22.528       0.0000       0.0000         0.00     0.00     0.00
     2316   23.945       0.0000       0.0000         0.00     0.00     0.00
     2317   25.361       0.0000       0.0000         0.00     0.00     0.00
     2318   0.0000       0.0000      -19.695         0.00     0.00     0.00
     2319   0.0000       0.0000      -21.111         0.00     0.00     0.00
     2320   0.0000       0.0000      -22.528         0.00     0.00     0.00
     2321   0.0000       0.0000      -23.945         0.00     0.00     0.00
     2322   0.0000       0.0000      -25.361         0.00     0.00     0.00
     2323   25.297       0.0000      -1.8093         0.00     0.00     0.00
     2324   25.103       0.0000      -3.6093         0.00     0.00     0.00
     2325   24.782       0.0000      -5.3909         0.00     0.00     0.00
     2326   24.334       0.0000      -7.1451         0.00     0.00     0.00
     2327   23.762       0.0000      -8.8629         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2328   23.069       0.0000      -10.535         0.00     0.00     0.00
     2329   22.259       0.0000      -12.154         0.00     0.00     0.00
     2330   21.335       0.0000      -13.711         0.00     0.00     0.00
     2331   20.303       0.0000      -15.198         0.00     0.00     0.00
     2332   19.167       0.0000      -16.608         0.00     0.00     0.00
     2333   17.933       0.0000      -17.933         0.00     0.00     0.00
     2334   16.608       0.0000      -19.167         0.00     0.00     0.00
     2335   15.198       0.0000      -20.303         0.00     0.00     0.00
     2336   13.711       0.0000      -21.335         0.00     0.00     0.00
     2337   12.154       0.0000      -22.259         0.00     0.00     0.00
     2338   10.535       0.0000      -23.069         0.00     0.00     0.00
     2339   8.8629       0.0000      -23.762         0.00     0.00     0.00
     2340   7.1451       0.0000      -24.334         0.00     0.00     0.00
     2341   5.3909       0.0000      -24.782         0.00     0.00     0.00
     2342   3.6093       0.0000      -25.103         0.00     0.00     0.00
     2343   1.8093       0.0000      -25.297         0.00     0.00     0.00
     2344   23.929       0.0000     -0.85464         0.00     0.00     0.00
     2345   23.884       0.0000      -1.7082         0.00     0.00     0.00
     2346   23.807       0.0000      -2.5596         0.00     0.00     0.00
     2347   23.701       0.0000      -3.4077         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2348   23.564       0.0000      -4.2515         0.00     0.00     0.00
     2349   23.397       0.0000      -5.0898         0.00     0.00     0.00
     2350   23.201       0.0000      -5.9217         0.00     0.00     0.00
     2351   22.975       0.0000      -6.7460         0.00     0.00     0.00
     2352   22.719       0.0000      -7.5617         0.00     0.00     0.00
     2353   22.435       0.0000      -8.3678         0.00     0.00     0.00
     2354   22.122       0.0000      -9.1632         0.00     0.00     0.00
     2355   21.781       0.0000      -9.9470         0.00     0.00     0.00
     2356   21.412       0.0000      -10.718         0.00     0.00     0.00
     2357   21.016       0.0000      -11.475         0.00     0.00     0.00
     2358   20.593       0.0000      -12.218         0.00     0.00     0.00
     2359   20.144       0.0000      -12.945         0.00     0.00     0.00
     2360   19.669       0.0000      -13.656         0.00     0.00     0.00
     2361   19.169       0.0000      -14.350         0.00     0.00     0.00
     2362   18.644       0.0000      -15.025         0.00     0.00     0.00
     2363   18.096       0.0000      -15.680         0.00     0.00     0.00
     2364   17.525       0.0000      -16.316         0.00     0.00     0.00
     2365   16.931       0.0000      -16.931         0.00     0.00     0.00
     2366   16.316       0.0000      -17.525         0.00     0.00     0.00
     2367   15.680       0.0000      -18.096         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2368   15.025       0.0000      -18.644         0.00     0.00     0.00
     2369   14.350       0.0000      -19.169         0.00     0.00     0.00
     2370   13.656       0.0000      -19.669         0.00     0.00     0.00
     2371   12.945       0.0000      -20.144         0.00     0.00     0.00
     2372   12.218       0.0000      -20.593         0.00     0.00     0.00
     2373   11.475       0.0000      -21.016         0.00     0.00     0.00
     2374   10.718       0.0000      -21.412         0.00     0.00     0.00
     2375   9.9470       0.0000      -21.781         0.00     0.00     0.00
     2376   9.1632       0.0000      -22.122         0.00     0.00     0.00
     2377   8.3678       0.0000      -22.435         0.00     0.00     0.00
     2378   7.5617       0.0000      -22.719         0.00     0.00     0.00
     2379   6.7460       0.0000      -22.975         0.00     0.00     0.00
     2380   5.9217       0.0000      -23.201         0.00     0.00     0.00
     2381   5.0898       0.0000      -23.397         0.00     0.00     0.00
     2382   4.2515       0.0000      -23.564         0.00     0.00     0.00
     2383   3.4077       0.0000      -23.701         0.00     0.00     0.00
     2384   2.5596       0.0000      -23.807         0.00     0.00     0.00
     2385   1.7082       0.0000      -23.884         0.00     0.00     0.00
     2386  0.85464       0.0000      -23.929         0.00     0.00     0.00
     2387   22.471       0.0000      -1.6071         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2388   22.299       0.0000      -3.2061         0.00     0.00     0.00
     2389   22.013       0.0000      -4.7887         0.00     0.00     0.00
     2390   21.615       0.0000      -6.3469         0.00     0.00     0.00
     2391   21.108       0.0000      -7.8727         0.00     0.00     0.00
     2392   20.492       0.0000      -9.3585         0.00     0.00     0.00
     2393   19.772       0.0000      -10.797         0.00     0.00     0.00
     2394   18.952       0.0000      -12.180         0.00     0.00     0.00
     2395   18.035       0.0000      -13.501         0.00     0.00     0.00
     2396   17.026       0.0000      -14.753         0.00     0.00     0.00
     2397   15.930       0.0000      -15.930         0.00     0.00     0.00
     2398   14.753       0.0000      -17.026         0.00     0.00     0.00
     2399   13.501       0.0000      -18.035         0.00     0.00     0.00
     2400   12.180       0.0000      -18.952         0.00     0.00     0.00
     2401   10.797       0.0000      -19.772         0.00     0.00     0.00
     2402   9.3585       0.0000      -20.492         0.00     0.00     0.00
     2403   7.8727       0.0000      -21.108         0.00     0.00     0.00
     2404   6.3469       0.0000      -21.615         0.00     0.00     0.00
     2405   4.7887       0.0000      -22.013         0.00     0.00     0.00
     2406   3.2061       0.0000      -22.299         0.00     0.00     0.00
     2407   1.6071       0.0000      -22.471         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2408   21.098       0.0000     -0.75351         0.00     0.00     0.00
     2409   21.058       0.0000      -1.5061         0.00     0.00     0.00
     2410   20.990       0.0000      -2.2567         0.00     0.00     0.00
     2411   20.896       0.0000      -3.0045         0.00     0.00     0.00
     2412   20.776       0.0000      -3.7484         0.00     0.00     0.00
     2413   20.629       0.0000      -4.4875         0.00     0.00     0.00
     2414   20.456       0.0000      -5.2210         0.00     0.00     0.00
     2415   20.256       0.0000      -5.9477         0.00     0.00     0.00
     2416   20.031       0.0000      -6.6670         0.00     0.00     0.00
     2417   19.780       0.0000      -7.3777         0.00     0.00     0.00
     2418   19.504       0.0000      -8.0790         0.00     0.00     0.00
     2419   19.204       0.0000      -8.7700         0.00     0.00     0.00
     2420   18.878       0.0000      -9.4498         0.00     0.00     0.00
     2421   18.529       0.0000      -10.118         0.00     0.00     0.00
     2422   18.156       0.0000      -10.772         0.00     0.00     0.00
     2423   17.760       0.0000      -11.414         0.00     0.00     0.00
     2424   17.341       0.0000      -12.040         0.00     0.00     0.00
     2425   16.900       0.0000      -12.652         0.00     0.00     0.00
     2426   16.438       0.0000      -13.247         0.00     0.00     0.00
     2427   15.955       0.0000      -13.825         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2428   15.451       0.0000      -14.386         0.00     0.00     0.00
     2429   14.928       0.0000      -14.928         0.00     0.00     0.00
     2430   14.386       0.0000      -15.451         0.00     0.00     0.00
     2431   13.825       0.0000      -15.955         0.00     0.00     0.00
     2432   13.247       0.0000      -16.438         0.00     0.00     0.00
     2433   12.652       0.0000      -16.900         0.00     0.00     0.00
     2434   12.040       0.0000      -17.341         0.00     0.00     0.00
     2435   11.414       0.0000      -17.760         0.00     0.00     0.00
     2436   10.772       0.0000      -18.156         0.00     0.00     0.00
     2437   10.118       0.0000      -18.529         0.00     0.00     0.00
     2438   9.4498       0.0000      -18.878         0.00     0.00     0.00
     2439   8.7700       0.0000      -19.204         0.00     0.00     0.00
     2440   8.0790       0.0000      -19.504         0.00     0.00     0.00
     2441   7.3777       0.0000      -19.780         0.00     0.00     0.00
     2442   6.6670       0.0000      -20.031         0.00     0.00     0.00
     2443   5.9477       0.0000      -20.256         0.00     0.00     0.00
     2444   5.2210       0.0000      -20.456         0.00     0.00     0.00
     2445   4.4875       0.0000      -20.629         0.00     0.00     0.00
     2446   3.7484       0.0000      -20.776         0.00     0.00     0.00
     2447   3.0045       0.0000      -20.896         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     2448   2.2567       0.0000      -20.990         0.00     0.00     0.00
     2449   1.5061       0.0000      -21.058         0.00     0.00     0.00
     2450  0.75351       0.0000      -21.098         0.00     0.00     0.00
     2451   19.644       0.0000      -1.4050         0.00     0.00     0.00
     2452   19.494       0.0000      -2.8028         0.00     0.00     0.00
     2453   19.245       0.0000      -4.1864         0.00     0.00     0.00
     2454   18.897       0.0000      -5.5486         0.00     0.00     0.00
     2455   18.453       0.0000      -6.8826         0.00     0.00     0.00
     2456   17.915       0.0000      -8.1815         0.00     0.00     0.00
     2457   17.286       0.0000      -9.4386         0.00     0.00     0.00
     2458   16.568       0.0000      -10.648         0.00     0.00     0.00
