
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
     1157   0.0000       0.0000      -26.778         0.00     0.00     0.00
     1202   26.778       0.0000       0.0000         0.00     0.00     0.00
     1203   26.761       0.0000     -0.95577         0.00     0.00     0.00
     1204   26.710       0.0000      -1.9103         0.00     0.00     0.00
     1205   26.625       0.0000      -2.8624         0.00     0.00     0.00
     1206   26.505       0.0000      -3.8109         0.00     0.00     0.00
     1207   26.353       0.0000      -4.7545         0.00     0.00     0.00
     1208   26.166       0.0000      -5.6921         0.00     0.00     0.00
     1209   25.946       0.0000      -6.6224         0.00     0.00     0.00
     1210   25.693       0.0000      -7.5442         0.00     0.00     0.00
     1211   25.408       0.0000      -8.4565         0.00     0.00     0.00
     1212   25.090       0.0000      -9.3580         0.00     0.00     0.00
     1213   24.740       0.0000      -10.247         0.00     0.00     0.00
     1214   24.358       0.0000      -11.124         0.00     0.00     0.00
     1215   23.946       0.0000      -11.986         0.00     0.00     0.00
     1216   23.502       0.0000      -12.833         0.00     0.00     0.00
     1217   23.029       0.0000      -13.664         0.00     0.00     0.00
     1218   22.527       0.0000      -14.477         0.00     0.00     0.00
     1219   21.996       0.0000      -15.272         0.00     0.00     0.00
     1220   21.437       0.0000      -16.047         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1221   20.850       0.0000      -16.802         0.00     0.00     0.00
     1222   20.237       0.0000      -17.536         0.00     0.00     0.00
     1223   19.599       0.0000      -18.247         0.00     0.00     0.00
     1224   18.935       0.0000      -18.935         0.00     0.00     0.00
     1225   18.247       0.0000      -19.599         0.00     0.00     0.00
     1226   17.536       0.0000      -20.237         0.00     0.00     0.00
     1227   16.802       0.0000      -20.850         0.00     0.00     0.00
     1228   16.047       0.0000      -21.437         0.00     0.00     0.00
     1229   15.272       0.0000      -21.996         0.00     0.00     0.00
     1230   14.477       0.0000      -22.527         0.00     0.00     0.00
     1231   13.664       0.0000      -23.029         0.00     0.00     0.00
     1232   12.833       0.0000      -23.502         0.00     0.00     0.00
     1233   11.986       0.0000      -23.946         0.00     0.00     0.00
     1234   11.124       0.0000      -24.358         0.00     0.00     0.00
