
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   18.249       0.0000      -1.0249         0.00     0.00     0.00
        4   18.163       0.0000      -2.0465         0.00     0.00     0.00
        5   18.020       0.0000      -3.0617         0.00     0.00     0.00
        6   17.820       0.0000      -4.0672         0.00     0.00     0.00
        7   17.564       0.0000      -5.0600         0.00     0.00     0.00
        8   17.252       0.0000      -6.0368         0.00     0.00     0.00
        9   16.887       0.0000      -6.9947         0.00     0.00     0.00
       10   16.468       0.0000      -7.9305         0.00     0.00     0.00
       11   15.997       0.0000      -8.8414         0.00     0.00     0.00
       12   15.476       0.0000      -9.7245         0.00     0.00     0.00
       13   14.907       0.0000      -10.577         0.00     0.00     0.00
       14   14.290       0.0000      -11.396         0.00     0.00     0.00
       15   13.629       0.0000      -12.179         0.00     0.00     0.00
       16   12.924       0.0000      -12.924         0.00     0.00     0.00
       17   12.179       0.0000      -13.629         0.00     0.00     0.00
       18   11.396       0.0000      -14.290         0.00     0.00     0.00
       19   10.577       0.0000      -14.907         0.00     0.00     0.00
       20   9.7245       0.0000      -15.476         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   8.8414       0.0000      -15.997         0.00     0.00     0.00
       22   7.9305       0.0000      -16.468         0.00     0.00     0.00
       23   6.9947       0.0000      -16.887         0.00     0.00     0.00
       24   6.0368       0.0000      -17.252         0.00     0.00     0.00
       25   5.0600       0.0000      -17.564         0.00     0.00     0.00
       26   4.0672       0.0000      -17.820         0.00     0.00     0.00
       27   3.0617       0.0000      -18.020         0.00     0.00     0.00
       28   2.0465       0.0000      -18.163         0.00     0.00     0.00
       29   1.0249       0.0000      -18.249         0.00     0.00     0.00
       30   0.0000      -42.750       0.0000         0.00     0.00     0.00
       31   0.0000      -1.8092      -18.357         0.00     0.00     0.00
       32   0.0000      -3.6198      -18.392         0.00     0.00     0.00
       33   0.0000      -5.4308      -18.383         0.00     0.00     0.00
       34   0.0000      -7.2410      -18.332         0.00     0.00     0.00
       35   0.0000      -9.0495      -18.238         0.00     0.00     0.00
       36   0.0000      -10.855      -18.097         0.00     0.00     0.00
       37   0.0000      -12.656      -17.905         0.00     0.00     0.00
       38   0.0000      -14.450      -17.661         0.00     0.00     0.00
       39   0.0000      -16.237      -17.367         0.00     0.00     0.00
       40   0.0000      -18.016      -17.027         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   0.0000      -19.788      -16.653         0.00     0.00     0.00
       42   0.0000      -21.554      -16.252         0.00     0.00     0.00
       43   0.0000      -23.315      -15.829         0.00     0.00     0.00
       44   0.0000      -25.071      -15.388         0.00     0.00     0.00
       45   0.0000      -26.824      -14.931         0.00     0.00     0.00
       46   0.0000      -28.568      -14.446         0.00     0.00     0.00
       47   0.0000      -30.296      -13.904         0.00     0.00     0.00
       48   0.0000      -31.995      -13.277         0.00     0.00     0.00
       49   0.0000      -33.652      -12.548         0.00     0.00     0.00
       50   0.0000      -35.254      -11.703         0.00     0.00     0.00
       51   0.0000      -36.776      -10.723         0.00     0.00     0.00
       52   0.0000      -38.187      -9.5900         0.00     0.00     0.00
       53   0.0000      -39.445      -8.2888         0.00     0.00     0.00
       54   0.0000      -40.504      -6.8218         0.00     0.00     0.00
       55   0.0000      -41.358      -5.2260         0.00     0.00     0.00
       56   0.0000      -42.014      -3.5392         0.00     0.00     0.00
       57   0.0000      -42.478      -1.7896         0.00     0.00     0.00
       58   18.357      -1.8092       0.0000         0.00     0.00     0.00
       59   18.392      -3.6198       0.0000         0.00     0.00     0.00
       60   18.383      -5.4308       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   18.332      -7.2410       0.0000         0.00     0.00     0.00
       62   18.238      -9.0495       0.0000         0.00     0.00     0.00
       63   18.097      -10.855       0.0000         0.00     0.00     0.00
       64   17.905      -12.656       0.0000         0.00     0.00     0.00
       65   17.661      -14.450       0.0000         0.00     0.00     0.00
       66   17.367      -16.237       0.0000         0.00     0.00     0.00
       67   17.027      -18.016       0.0000         0.00     0.00     0.00
       68   16.653      -19.788       0.0000         0.00     0.00     0.00
       69   16.252      -21.554       0.0000         0.00     0.00     0.00
       70   15.829      -23.315       0.0000         0.00     0.00     0.00
       71   15.388      -25.071       0.0000         0.00     0.00     0.00
       72   14.931      -26.824       0.0000         0.00     0.00     0.00
       73   14.446      -28.568       0.0000         0.00     0.00     0.00
       74   13.904      -30.296       0.0000         0.00     0.00     0.00
       75   13.277      -31.995       0.0000         0.00     0.00     0.00
       76   12.548      -33.652       0.0000         0.00     0.00     0.00
       77   11.703      -35.254       0.0000         0.00     0.00     0.00
       78   10.723      -36.776       0.0000         0.00     0.00     0.00
       79   9.5900      -38.187       0.0000         0.00     0.00     0.00
       80   8.2888      -39.445       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       81   6.8218      -40.504       0.0000         0.00     0.00     0.00
       82   5.2260      -41.358       0.0000         0.00     0.00     0.00
       83   3.5392      -42.014       0.0000         0.00     0.00     0.00
       84   1.7896      -42.478       0.0000         0.00     0.00     0.00
       85   12.121      -17.440      -12.121         0.00     0.00     0.00
       86   12.968      -1.3086      -12.968         0.00     0.00     0.00
       87   12.996      -2.6528      -12.996         0.00     0.00     0.00
       88   13.006      -3.9336      -13.006         0.00     0.00     0.00
       89   13.000      -5.3179      -13.000         0.00     0.00     0.00
       90   12.979      -6.5682      -12.979         0.00     0.00     0.00
       91   12.939      -7.9888      -12.939         0.00     0.00     0.00
       92   12.889      -9.2055      -12.889         0.00     0.00     0.00
       93   12.809      -10.658      -12.809         0.00     0.00     0.00
       94   12.727      -11.837      -12.727         0.00     0.00     0.00
       95   12.606      -13.276      -12.606         0.00     0.00     0.00
       96   12.497      -14.374      -12.497         0.00     0.00     0.00
       97   12.347      -15.693      -12.347         0.00     0.00     0.00
       98   12.245      -16.513      -12.245         0.00     0.00     0.00
       99  0.99636      -24.615      -15.472         0.00     0.00     0.00
      100   2.0386      -24.141      -15.490         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      101   2.9954      -23.644      -15.460         0.00     0.00     0.00
      102   4.0730      -23.118      -15.346         0.00     0.00     0.00
      103   4.9899      -22.580      -15.210         0.00     0.00     0.00
      104   6.0700      -21.996      -14.964         0.00     0.00     0.00
      105   6.9313      -21.427      -14.732         0.00     0.00     0.00
      106   7.9733      -20.786      -14.365         0.00     0.00     0.00
      107   8.7593      -20.204      -14.055         0.00     0.00     0.00
      108   9.7085      -19.529      -13.600         0.00     0.00     0.00
      109   10.383      -18.965      -13.246         0.00     0.00     0.00
      110   11.166      -18.324      -12.772         0.00     0.00     0.00
      111   11.627      -17.892      -12.474         0.00     0.00     0.00
      112   15.471      -24.616      -1.0020         0.00     0.00     0.00
      113   15.488      -24.143      -2.0532         0.00     0.00     0.00
      114   15.457      -23.645      -3.0082         0.00     0.00     0.00
      115   15.340      -23.120      -4.0931         0.00     0.00     0.00
      116   15.206      -22.580      -5.0026         0.00     0.00     0.00
      117   14.957      -21.996      -6.0868         0.00     0.00     0.00
      118   14.728      -21.428      -6.9399         0.00     0.00     0.00
      119   14.360      -20.786      -7.9835         0.00     0.00     0.00
      120   14.052      -20.204      -8.7637         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      121   13.597      -19.529      -9.7132         0.00     0.00     0.00
      122   13.245      -18.965      -10.385         0.00     0.00     0.00
      123   12.770      -18.324      -11.168         0.00     0.00     0.00
      124   12.473      -17.892      -11.628         0.00     0.00     0.00
      125   14.336      -1.3416      -11.440         0.00     0.00     0.00
      126   15.528      -1.4179      -9.7660         0.00     0.00     0.00
      127   16.528      -1.5029      -7.9639         0.00     0.00     0.00
      128   17.321      -1.5847      -6.0588         0.00     0.00     0.00
      129   17.894      -1.6629      -4.0782         0.00     0.00     0.00
      130   18.240      -1.7374      -2.0501         0.00     0.00     0.00
      131   13.700      -2.6506      -12.251         0.00     0.00     0.00
      132   14.363      -2.7074      -11.468         0.00     0.00     0.00
      133   14.983      -2.7599      -10.648         0.00     0.00     0.00
      134   15.557      -2.8427      -9.7924         0.00     0.00     0.00
      135   16.084      -2.9213      -8.9024         0.00     0.00     0.00
      136   16.560      -3.0068      -7.9853         0.00     0.00     0.00
      137   16.986      -3.0883      -7.0378         0.00     0.00     0.00
      138   17.355      -3.1702      -6.0727         0.00     0.00     0.00
      139   17.672      -3.2485      -5.0830         0.00     0.00     0.00
      140   17.930      -3.3264      -4.0851         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      141   18.132      -3.4013      -3.0697         0.00     0.00     0.00
      142   18.276      -3.4755      -2.0525         0.00     0.00     0.00
      143   18.363      -3.5477      -1.0261         0.00     0.00     0.00
      144   14.367      -4.0326      -11.485         0.00     0.00     0.00
      145   15.560      -4.2612      -9.8090         0.00     0.00     0.00
      146   16.564      -4.5160      -7.9957         0.00     0.00     0.00
      147   17.359      -4.7612      -6.0742         0.00     0.00     0.00
      148   17.931      -4.9953      -4.0798         0.00     0.00     0.00
      149   18.272      -5.2177      -2.0467         0.00     0.00     0.00
      150   13.698      -5.3155      -12.262         0.00     0.00     0.00
      151   14.356      -5.4270      -11.483         0.00     0.00     0.00
      152   14.971      -5.5338      -10.665         0.00     0.00     0.00
      153   15.541      -5.6972      -9.8097         0.00     0.00     0.00
      154   16.066      -5.8560      -8.9172         0.00     0.00     0.00
      155   16.539      -6.0247      -7.9968         0.00     0.00     0.00
      156   16.963      -6.1891      -7.0429         0.00     0.00     0.00
      157   17.328      -6.3507      -6.0743         0.00     0.00     0.00
      158   17.641      -6.5082      -5.0777         0.00     0.00     0.00
      159   17.894      -6.6620      -4.0791         0.00     0.00     0.00
      160   18.091      -6.8119      -3.0602         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      161   18.228      -6.9581      -2.0462         0.00     0.00     0.00
      162   18.309      -7.1010      -1.0215         0.00     0.00     0.00
      163   14.320      -6.7328      -11.475         0.00     0.00     0.00
      164   15.495      -7.1129      -9.8053         0.00     0.00     0.00
      165   16.486      -7.5363      -7.9887         0.00     0.00     0.00
      166   17.268      -7.9434      -6.0600         0.00     0.00     0.00
      167   17.823      -8.3315      -4.0613         0.00     0.00     0.00
      168   18.146      -8.6997      -2.0332         0.00     0.00     0.00
      169   13.625      -7.9865      -12.214         0.00     0.00     0.00
      170   14.268      -8.1520      -11.443         0.00     0.00     0.00
      171   14.870      -8.3130      -10.634         0.00     0.00     0.00
      172   15.428      -8.5561      -9.7816         0.00     0.00     0.00
      173   15.941      -8.7945      -8.8918         0.00     0.00     0.00
      174   16.404      -9.0457      -7.9715         0.00     0.00     0.00
      175   16.817      -9.2920      -7.0166         0.00     0.00     0.00
      176   17.171      -9.5325      -6.0479         0.00     0.00     0.00
      177   17.472      -9.7680      -5.0502         0.00     0.00     0.00
      178   17.712      -9.9968      -4.0544         0.00     0.00     0.00
      179   17.896      -10.220      -3.0374         0.00     0.00     0.00
      180   18.020      -10.437      -2.0306         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      181   18.087      -10.649      -1.0125         0.00     0.00     0.00
      182   14.193      -9.4352      -11.412         0.00     0.00     0.00
      183   15.331      -9.9653      -9.7568         0.00     0.00     0.00
      184   16.290      -10.555      -7.9452         0.00     0.00     0.00
      185   17.041      -11.122      -6.0180         0.00     0.00     0.00
      186   17.563      -11.662      -4.0244         0.00     0.00     0.00
      187   17.849      -12.173      -2.0104         0.00     0.00     0.00
      188   13.477      -10.656      -12.105         0.00     0.00     0.00
      189   14.096      -10.875      -11.346         0.00     0.00     0.00
      190   14.676      -11.089      -10.551         0.00     0.00     0.00
      191   15.211      -11.411      -9.7050         0.00     0.00     0.00
      192   15.702      -11.728      -8.8228         0.00     0.00     0.00
      193   16.143      -12.060      -7.9058         0.00     0.00     0.00
