e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
1,2,0.5,4,0.5,4,0.06340455216254648,0.0,0.997987907123662,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
2,2,0.5,4,0.5,4,0.18812444408082257,0.0,0.982145199824996,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
3,2,0.5,4,0.5,4,0.30797606888296203,0.0,0.9513941039313818,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
4,2,0.5,4,0.5,4,0.4203180182601616,0.0,0.9073768586016785,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
5,2,0.5,4,0.5,4,0.5220586075555411,0.0,0.8529096143655372,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
6,2,0.5,4,0.5,4,0.6095826875393922,0.0,0.792722490567949,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
7,2,0.5,4,0.5,4,0.6784257651526169,0.0,0.7346689602651566,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
8,2,0.5,4,0.5,4,0.059131800212602524,0.0,0.9982501841740962,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
9,2,0.5,4,0.5,4,0.17629352278211743,0.0,0.9843376421863947,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
10,2,0.5,4,0.5,4,0.29061198985017633,0.0,0.9568409854073564,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
11,2,0.5,4,0.5,4,0.3998957403974421,0.0,0.916560634552882,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
12,2,0.5,4,0.5,4,0.5013811765915259,0.0,0.8652265112441349,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
13,2,0.5,4,0.5,4,0.5924200053304064,0.0,0.8056292803047325,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
14,2,0.5,4,0.5,4,0.6714735837130139,0.0,0.7410284922832602,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
15,2,0.5,4,0.5,4,0.05729021796938181,0.0,0.9983575666688869,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
16,2,0.5,4,0.5,4,0.17126580337404865,0.0,0.9852248599150559,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
17,2,0.5,4,0.5,4,0.2832210515595662,0.0,0.9590546574379865,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
18,2,0.5,4,0.5,4,0.3911957131567549,0.0,0.9203075105679502,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
19,2,0.5,4,0.5,4,0.49270865832531296,0.0,0.8701943334745808,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
20,2,0.5,4,0.5,4,0.5855952910594603,0.0,0.8106035745597142,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
21,2,0.5,4,0.5,4,0.6688677348594496,0.0,0.74338143188002,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
22,2,0.5,4,0.5,4,0.05643881055720819,0.0,0.9984060600090966,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
23,2,0.5,4,0.5,4,0.16899561412283967,0.0,0.9856168030260261,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
24,2,0.5,4,0.5,4,0.2798522118783463,0.0,0.9600430925259538,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
25,2,0.5,4,0.5,4,0.3871839315994332,0.0,0.922002496260832,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
26,2,0.5,4,0.5,4,0.48877165952363016,0.0,0.8724117518961539,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
27,2,0.5,4,0.5,4,0.5826415224618359,0.0,0.8127292638408895,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
28,2,0.5,4,0.5,4,0.6677867965702433,0.0,0.7443526008058629,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
29,2,0.5,4,0.5,4,0.056003830798066714,0.0,0.9984305538874206,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
30,2,0.5,4,0.5,4,0.16783883130505411,0.0,0.9858144484162086,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
31,2,0.5,4,0.5,4,0.27804550639118153,0.0,0.9605679030530176,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
32,2,0.5,4,0.5,4,0.3849092878198852,0.0,0.922954408489384,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
33,2,0.5,4,0.5,4,0.48646447603892545,0.0,0.8737003568456257,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
34,2,0.5,4,0.5,4,0.5809247145976061,0.0,0.8139572937013895,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
35,2,0.5,4,0.5,4,0.6671778776212105,0.0,0.7448984357701774,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
36,2,0.5,4,0.5,4,0.05584930829547858,0.0,0.9984392093477282,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
37,2,0.5,4,0.5,4,0.16736443266852366,0.0,0.9858950992258473,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
38,2,0.5,4,0.5,4,0.2771443154336517,0.0,0.9608283033002372,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
39,2,0.5,4,0.5,4,0.3835948587893335,0.0,0.9235014804050892,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
40,2,0.5,4,0.5,4,0.4850034388947692,0.0,0.8745122436308412,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
41,2,0.5,4,0.5,4,0.5797802210525989,0.0,0.8147729102493525,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
42,2,0.5,4,0.5,4,0.6667635418196043,0.0,0.745269333395771,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
43,2,0.5,4,0.5,4,0.05595122445965122,0.0,0.9984335032847533,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
44,2,0.5,4,0.5,4,0.16739020444092123,0.0,0.9858907238924742,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
45,2,0.5,4,0.5,4,0.276858649382871,0.0,0.9609106557125343,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
46,2,0.5,4,0.5,4,0.3829091021664966,0.0,0.9237860247254488,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
47,2,0.5,4,0.5,4,0.4840831184527996,0.0,0.8750220193966621,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
