
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
      409   17.820       0.0000      -4.0672         0.00     0.00     0.00
      410   16.468       0.0000      -7.9305         0.00     0.00     0.00
      411   14.290       0.0000      -11.396         0.00     0.00     0.00
      412   11.396       0.0000      -14.290         0.00     0.00     0.00
      413   7.9305       0.0000      -16.468         0.00     0.00     0.00
      414   4.0672       0.0000      -17.820         0.00     0.00     0.00
      415   18.278       0.0000       0.0000         0.00     0.00     0.00
      428   0.0000       0.0000      -18.278         0.00     0.00     0.00
      441  -4.0672       0.0000      -17.820         0.00     0.00     0.00
      442  -7.9305       0.0000      -16.468         0.00     0.00     0.00
      443  -11.396       0.0000      -14.290         0.00     0.00     0.00
      444  -14.290       0.0000      -11.396         0.00     0.00     0.00
      445  -16.468       0.0000      -7.9305         0.00     0.00     0.00
      446  -17.820       0.0000      -4.0672         0.00     0.00     0.00
      447  -18.278       0.0000       0.0000         0.00     0.00     0.00
      460  -17.820       0.0000       4.0672         0.00     0.00     0.00
      461  -16.468       0.0000       7.9305         0.00     0.00     0.00
      462  -14.290       0.0000       11.396         0.00     0.00     0.00
      463  -11.396       0.0000       14.290         0.00     0.00     0.00
      464  -7.9305       0.0000       16.468         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      465  -4.0672       0.0000       17.820         0.00     0.00     0.00
      466   0.0000       0.0000       18.278         0.00     0.00     0.00
      478   4.0672       0.0000       17.820         0.00     0.00     0.00
      479   7.9305       0.0000       16.468         0.00     0.00     0.00
      480   11.396       0.0000       14.290         0.00     0.00     0.00
      481   14.290       0.0000       11.396         0.00     0.00     0.00
      482   16.468       0.0000       7.9305         0.00     0.00     0.00
      483   17.820       0.0000       4.0672         0.00     0.00     0.00
      484   5.0130       0.0000      -21.963         0.00     0.00     0.00
      485   9.7745       0.0000      -20.297         0.00     0.00     0.00
      486   14.046       0.0000      -17.613         0.00     0.00     0.00
      487   17.613       0.0000      -14.046         0.00     0.00     0.00
      488   20.297       0.0000      -9.7745         0.00     0.00     0.00
      489   21.963       0.0000      -5.0130         0.00     0.00     0.00
      497   22.528       0.0000       0.0000         0.00     0.00     0.00
      499   0.0000       0.0000      -22.528         0.00     0.00     0.00
      500  -21.963       0.0000      -5.0130         0.00     0.00     0.00
      501  -20.297       0.0000      -9.7745         0.00     0.00     0.00
      502  -17.613       0.0000      -14.046         0.00     0.00     0.00
      503  -14.046       0.0000      -17.613         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      504  -9.7745       0.0000      -20.297         0.00     0.00     0.00
      505  -5.0130       0.0000      -21.963         0.00     0.00     0.00
      513  -22.528       0.0000       0.0000         0.00     0.00     0.00
      538  -5.0130       0.0000       21.963         0.00     0.00     0.00
      539  -9.7745       0.0000       20.297         0.00     0.00     0.00
      540  -14.046       0.0000       17.613         0.00     0.00     0.00
      541  -17.613       0.0000       14.046         0.00     0.00     0.00
      542  -20.297       0.0000       9.7745         0.00     0.00     0.00
      543  -21.963       0.0000       5.0130         0.00     0.00     0.00
      551   0.0000       0.0000       22.528         0.00     0.00     0.00
      576   5.0130       0.0000       21.963         0.00     0.00     0.00
      577   9.7745       0.0000       20.297         0.00     0.00     0.00
      578   14.046       0.0000       17.613         0.00     0.00     0.00
      579   17.613       0.0000       14.046         0.00     0.00     0.00
      580   20.297       0.0000       9.7745         0.00     0.00     0.00
      581   21.963       0.0000       5.0130         0.00     0.00     0.00

