
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
      490   26.107       0.0000      -5.9587         0.00     0.00     0.00
      491   24.126       0.0000      -11.619         0.00     0.00     0.00
      492   20.936       0.0000      -16.696         0.00     0.00     0.00
      493   16.696       0.0000      -20.936         0.00     0.00     0.00
      494   11.619       0.0000      -24.126         0.00     0.00     0.00
      495   5.9587       0.0000      -26.107         0.00     0.00     0.00
      496   26.778       0.0000       0.0000         0.00     0.00     0.00
      498   0.0000       0.0000      -26.778         0.00     0.00     0.00
      506  -5.9587       0.0000      -26.107         0.00     0.00     0.00
      507  -11.619       0.0000      -24.126         0.00     0.00     0.00
      508  -16.696       0.0000      -20.936         0.00     0.00     0.00
      509  -20.936       0.0000      -16.696         0.00     0.00     0.00
      510  -24.126       0.0000      -11.619         0.00     0.00     0.00
      511  -26.107       0.0000      -5.9587         0.00     0.00     0.00
      512  -26.778       0.0000       0.0000         0.00     0.00     0.00
      544  -26.107       0.0000       5.9587         0.00     0.00     0.00
      545  -24.126       0.0000       11.619         0.00     0.00     0.00
      546  -20.936       0.0000       16.696         0.00     0.00     0.00
      547  -16.696       0.0000       20.936         0.00     0.00     0.00
      548  -11.619       0.0000       24.126         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      549  -5.9587       0.0000       26.107         0.00     0.00     0.00
      550   0.0000       0.0000       26.778         0.00     0.00     0.00
      582   5.9587       0.0000       26.107         0.00     0.00     0.00
      583   11.619       0.0000       24.126         0.00     0.00     0.00
      584   16.696       0.0000       20.936         0.00     0.00     0.00
      585   20.936       0.0000       16.696         0.00     0.00     0.00
      586   24.126       0.0000       11.619         0.00     0.00     0.00
      587   26.107       0.0000       5.9587         0.00     0.00     0.00

