
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
      205   8.8215      -34.296      -8.4667         0.00     0.00     0.00
      206   12.268      -17.310      -12.008         0.00     0.00     0.00
      207   11.888      -21.145      -11.221         0.00     0.00     0.00
      208   11.421      -24.910      -10.374         0.00     0.00     0.00
      209   10.726      -28.612      -9.6576         0.00     0.00     0.00
      210   11.861      -8.4398      -13.902         0.00     0.00     0.00
      211   16.550      -11.304      -7.2138         0.00     0.00     0.00
      212   15.608      -14.688      -8.1877         0.00     0.00     0.00
      213   14.828      -18.061      -8.3512         0.00     0.00     0.00
      214   14.160      -21.780      -7.8680         0.00     0.00     0.00
      215   13.432      -25.499      -7.2789         0.00     0.00     0.00
      216   12.581      -29.208      -6.7009         0.00     0.00     0.00
      217   11.404      -32.512      -6.3708         0.00     0.00     0.00
      218   9.5813      -35.587      -6.3698         0.00     0.00     0.00
      219   8.3936      -8.8603      -16.205         0.00     0.00     0.00
      220   8.8881      -13.003      -15.494         0.00     0.00     0.00
      221   8.7798      -17.057      -14.808         0.00     0.00     0.00
      222   8.4330      -21.071      -14.024         0.00     0.00     0.00
      223   8.0496      -24.901      -13.165         0.00     0.00     0.00
      224   7.5727      -28.555      -12.307         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      225   6.9780      -32.010      -11.288         0.00     0.00     0.00
      226   6.6374      -35.277      -9.6222         0.00     0.00     0.00
      227   6.9676      -37.820      -7.0499         0.00     0.00     0.00
      228   8.2252      -4.3757      -16.452         0.00     0.00     0.00
      229   11.700      -4.2639      -14.193         0.00     0.00     0.00
      230   14.547      -4.1009      -11.256         0.00     0.00     0.00
      231   16.704      -4.0310      -7.6995         0.00     0.00     0.00
      232   17.972      -4.0073      -3.9158         0.00     0.00     0.00
      233   17.656      -11.571      -3.6374         0.00     0.00     0.00
      234   17.060      -15.267      -4.0444         0.00     0.00     0.00
      235   16.324      -18.876      -4.1764         0.00     0.00     0.00
      236   15.515      -22.500      -4.0194         0.00     0.00     0.00
      237   14.625      -26.200      -3.7409         0.00     0.00     0.00
      238   13.596      -29.910      -3.4725         0.00     0.00     0.00
      239   12.161      -33.534      -3.3147         0.00     0.00     0.00
      240   10.155      -36.701      -3.6075         0.00     0.00     0.00
      241   7.3673      -39.382      -3.9583         0.00     0.00     0.00
      242   4.2344      -4.3517      -17.899         0.00     0.00     0.00
      243   4.3180      -8.7407      -17.739         0.00     0.00     0.00
      244   4.5324      -12.945      -17.285         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      245   4.5400      -17.018      -16.614         0.00     0.00     0.00
      246   4.3570      -21.021      -15.786         0.00     0.00     0.00
      247   4.1390      -24.977      -14.846         0.00     0.00     0.00
      248   3.8842      -28.862      -13.824         0.00     0.00     0.00
      249   3.6295      -32.667      -12.479         0.00     0.00     0.00
      250   3.7263      -36.149      -10.511         0.00     0.00     0.00
      251   3.9359      -39.178      -7.6422         0.00     0.00     0.00
      252   4.0369      -41.077      -4.1741         0.00     0.00     0.00
      253   17.912      -7.7403      -3.7948         0.00     0.00     0.00
      254   16.726      -7.5869      -7.4674         0.00     0.00     0.00
      255   14.658      -7.7552      -10.971         0.00     0.00     0.00
      256   9.8608      -31.735      -9.0439         0.00     0.00     0.00
      257   14.887      -10.651      -10.322         0.00     0.00     0.00
      258   12.896      -12.969      -12.365         0.00     0.00     0.00
      259  -12.361      -17.538       11.848         0.00     0.00     0.00
      260  -11.673      -12.675       13.575         0.00     0.00     0.00
      261  -11.972      -22.748       10.566         0.00     0.00     0.00
      262  -9.9619      -25.838       11.467         0.00     0.00     0.00
      263  -9.0461      -28.430       11.315         0.00     0.00     0.00
      264  -10.138      -30.581       9.3713         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      265  -9.5937      -36.092       5.7580         0.00     0.00     0.00
      266  -10.633      -33.142       7.1008         0.00     0.00     0.00
      267  -12.644      -29.664       6.2653         0.00     0.00     0.00
      268  -13.751      -25.965       6.3749         0.00     0.00     0.00
      269  -14.296      -22.210       7.3981         0.00     0.00     0.00
      270  -14.942      -18.925       7.7649         0.00     0.00     0.00
      271  -15.879      -15.349       7.4011         0.00     0.00     0.00
      272  -11.565      -8.3780       14.153         0.00     0.00     0.00
      273  -14.421      -8.0422       11.258         0.00     0.00     0.00
      274  -16.560      -7.8101       7.8044         0.00     0.00     0.00
      275  -8.1554      -8.5796       16.345         0.00     0.00     0.00
      276  -8.4093      -13.003       15.759         0.00     0.00     0.00
      277  -8.6716      -17.169       14.847         0.00     0.00     0.00
      278  -8.5494      -21.408       13.862         0.00     0.00     0.00
      279  -7.4293      -24.985       13.501         0.00     0.00     0.00
      280  -6.7471      -28.718       12.724         0.00     0.00     0.00
      281  -7.0698      -32.064       11.205         0.00     0.00     0.00
      282  -7.3664      -34.932       9.3280         0.00     0.00     0.00
      283  -7.3811      -37.587       6.9015         0.00     0.00     0.00
      284  -7.5225      -39.364       3.7020         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      285  -10.232      -36.775       3.2106         0.00     0.00     0.00
      286  -12.070      -33.679       3.3803         0.00     0.00     0.00
      287  -13.480      -30.362       3.3137         0.00     0.00     0.00
      288  -14.628      -26.517       3.3776         0.00     0.00     0.00
      289  -15.525      -22.799       3.6784         0.00     0.00     0.00
      290  -16.337      -19.176       3.8573         0.00     0.00     0.00
      291  -17.070      -15.497       3.8315         0.00     0.00     0.00
      292  -17.603      -11.649       3.8504         0.00     0.00     0.00
      293  -17.874      -7.7836       3.9640         0.00     0.00     0.00
      294  -8.0421      -4.2108       16.542         0.00     0.00     0.00
      295  -11.543      -4.2332       14.321         0.00     0.00     0.00
      296  -14.391      -4.1031       11.455         0.00     0.00     0.00
      297  -16.603      -3.9802       7.9148         0.00     0.00     0.00
      298  -17.937      -3.9484       4.0738         0.00     0.00     0.00
      299  -4.1637      -4.2398       17.916         0.00     0.00     0.00
      300  -4.2419      -8.5821       17.767         0.00     0.00     0.00
      301  -4.3594      -12.868       17.340         0.00     0.00     0.00
      302  -4.4409      -17.046       16.635         0.00     0.00     0.00
      303  -4.3171      -21.009       15.799         0.00     0.00     0.00
      304  -4.2168      -24.929       14.837         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      305  -3.6280      -28.934       13.871         0.00     0.00     0.00
      306  -3.6340      -32.764       12.434         0.00     0.00     0.00
      307  -3.9674      -36.158       10.416         0.00     0.00     0.00
      308  -4.1197      -41.075       4.0976         0.00     0.00     0.00
      309  -4.1299      -39.056       7.6926         0.00     0.00     0.00
      310  -16.416      -11.526       7.4617         0.00     0.00     0.00
      311  -11.518      -27.983       8.9953         0.00     0.00     0.00
      312  -12.563      -25.836       8.5394         0.00     0.00     0.00
      313  -14.356      -11.828       10.859         0.00     0.00     0.00
      314  -14.469      -14.835       10.025         0.00     0.00     0.00
      315   6.7172      -38.642       6.2266         0.00     0.00     0.00
      316   17.896      -3.9411       4.2486         0.00     0.00     0.00
      317   4.8787      -4.3850       17.734         0.00     0.00     0.00
      318   8.8528      -3.9423       16.123         0.00     0.00     0.00
      319   11.780      -3.5970       14.123         0.00     0.00     0.00
      320   14.370      -3.7260       11.480         0.00     0.00     0.00
      321   16.509      -3.9941       8.1102         0.00     0.00     0.00
      322   17.768      -8.1522       4.3385         0.00     0.00     0.00
      323   17.323      -12.184       4.7439         0.00     0.00     0.00
      324   16.718      -16.073       4.8096         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      325   15.955      -19.903       4.6810         0.00     0.00     0.00
      326   15.127      -23.628       4.3925         0.00     0.00     0.00
      327   14.186      -27.354       4.1772         0.00     0.00     0.00
      328   13.084      -30.984       3.9359         0.00     0.00     0.00
      329   11.737      -34.283       3.4511         0.00     0.00     0.00
      330   9.7497      -37.510       2.8833         0.00     0.00     0.00
      331   7.0066      -39.859       3.3518         0.00     0.00     0.00
      332   3.8440      -41.275       3.7986         0.00     0.00     0.00
