e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
1,0.0228,0.132,3.45,0.132,3.45,-0.718917179901007,0.0,0.695095740487009,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
2,0.0228,0.132,3.45,0.132,3.45,-0.7190045753454594,0.0,0.6950053385638817,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
3,0.0228,0.132,3.45,0.132,3.45,-0.9481390670608272,0.0,0.3178557998731883,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
4,0.0228,0.132,3.45,0.132,3.45,-0.9481831413266197,0.0,0.31772429951765335,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
5,0.0228,0.132,3.45,0.132,3.45,-0.9759121689733907,0.0,0.21816378812637965,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
6,0.0228,0.132,3.45,0.132,3.45,-0.9758942526647242,0.0,0.21824391770667861,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
7,0.0228,0.132,3.45,0.132,3.45,-0.9833181984841087,0.0,0.18189370668048724,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
8,0.0228,0.132,3.45,0.132,3.45,-0.9832684225359496,0.0,0.18216259013218178,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
9,0.0228,0.132,3.45,0.132,3.45,-0.9859084312919607,0.0,0.1672858783861478,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
10,0.0228,0.132,3.45,0.132,3.45,-0.9858482016205189,0.0,0.16764045860587629,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
11,0.0228,0.132,3.45,0.132,3.45,-0.9861276479844849,0.0,0.16598874022230456,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
12,0.0228,0.132,3.45,0.132,3.45,-0.9860763902268604,0.0,0.1662929723023932,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
13,0.0228,0.132,3.45,0.132,3.45,-0.9852567634951013,0.0,0.17108217320094438,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
14,0.0228,0.132,3.45,0.132,3.45,-0.985212666822251,0.0,0.171335930653755,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
15,0.0228,0.132,3.45,0.132,3.45,-0.984735919184788,0.0,0.17405507595956743,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
16,0.0228,0.132,3.45,0.132,3.45,-0.9846825228675252,0.0,0.17435690166794512,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
17,0.0228,0.132,3.45,0.132,3.45,-0.9857228285633345,0.0,0.16837608277038327,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
18,0.0228,0.132,3.45,0.132,3.45,-0.985669000977326,0.0,0.16869090228094763,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
19,0.0228,0.132,3.45,0.132,3.45,-0.9877503343639708,0.0,0.15604254856885683,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
20,0.0228,0.132,3.45,0.132,3.45,-0.9877235546014542,0.0,0.15621197036548906,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
21,0.0228,0.132,3.45,0.132,3.45,-0.9900001574416346,0.0,0.14106625487882912,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
22,0.0228,0.132,3.45,0.132,3.45,-0.9899988039436743,0.0,0.14107575337418646,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
23,0.0228,0.132,3.45,0.132,3.45,-0.9924202109536595,0.0,0.12289070302791116,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
24,0.0228,0.132,3.45,0.132,3.45,-0.9924259417180116,0.0,0.122844414627275,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
25,0.0228,0.132,3.45,0.132,3.45,-0.9355498326709311,0.0,0.35319472050045275,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
26,0.0228,0.132,3.45,0.132,3.45,-0.9355705089058668,0.0,0.3531399479889204,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
27,0.0228,0.132,3.45,0.132,3.45,-0.8365292133418004,0.0,0.547922325905551,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
28,0.0228,0.132,3.45,0.132,3.45,-0.8365495386566134,0.0,0.5478912933907667,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
29,0.0228,0.132,3.45,0.132,3.45,-0.7033575947278796,0.0,0.7108361934641565,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
30,0.0228,0.132,3.45,0.132,3.45,-0.7033719641884759,0.0,0.7108219748950121,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
31,0.0228,0.132,3.45,0.132,3.45,-0.5338861682943524,0.0,0.8455563608086538,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
32,0.0228,0.132,3.45,0.132,3.45,-0.5339017294406956,0.0,0.8455465352659394,0.0,1.0,-0.0,0.2,1.0,1.0, 1.0
