
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.261      -14.465      -17.509         0.00     0.00     0.00
        2   21.146      -11.742      -14.661         0.00     0.00     0.00
        3   13.634      -38.122      -12.505         0.00     0.00     0.00
        4   20.959      -8.4999      -15.686         0.00     0.00     0.00
        5   23.904      -8.5028      -10.672         0.00     0.00     0.00
        6   25.554      -8.9646      -5.4137         0.00     0.00     0.00
        7   5.0670      -48.032      -5.2391         0.00     0.00     0.00
        8   5.0303      -46.193      -9.7673         0.00     0.00     0.00
        9   4.9235      -43.012      -13.888         0.00     0.00     0.00
       10   4.9737      -39.169      -17.101         0.00     0.00     0.00
       11   5.5022      -34.770      -19.583         0.00     0.00     0.00
       12   5.9399      -30.066      -21.305         0.00     0.00     0.00
       13   6.2201      -25.065      -22.536         0.00     0.00     0.00
       14   6.4249      -19.917      -23.511         0.00     0.00     0.00
       15   6.3947      -14.987      -24.388         0.00     0.00     0.00
       16   6.1325      -10.394      -25.193         0.00     0.00     0.00
       17   6.1034      -5.2671      -25.800         0.00     0.00     0.00
       18   9.3963      -46.398      -5.0484         0.00     0.00     0.00
       19   13.325      -43.618      -4.7335         0.00     0.00     0.00
       20   16.505      -40.158      -4.4989         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   19.103      -36.025      -4.8790         0.00     0.00     0.00
       22   20.962      -31.559      -5.3618         0.00     0.00     0.00
       23   22.237      -26.864      -5.7608         0.00     0.00     0.00
       24   23.208      -22.206      -5.9375         0.00     0.00     0.00
       25   24.100      -17.630      -5.7134         0.00     0.00     0.00
       26   24.946      -13.412      -5.1391         0.00     0.00     0.00
       27   25.953      -4.6455      -5.6548         0.00     0.00     0.00
       28   24.121      -4.6730      -11.118         0.00     0.00     0.00
       29   21.016      -4.4972      -16.262         0.00     0.00     0.00
       30   16.887      -4.8226      -20.485         0.00     0.00     0.00
       31   11.858      -5.1995      -23.719         0.00     0.00     0.00
       32   9.0348      -44.796      -9.1415         0.00     0.00     0.00
       33   8.8500      -42.070      -12.830         0.00     0.00     0.00
       34   9.6237      -38.430      -15.568         0.00     0.00     0.00
       35   10.747      -34.409      -17.465         0.00     0.00     0.00
       36   11.561      -29.914      -18.909         0.00     0.00     0.00
       37   12.061      -24.943      -20.057         0.00     0.00     0.00
       38   12.454      -19.649      -21.006         0.00     0.00     0.00
       39   12.580      -14.566      -21.930         0.00     0.00     0.00
       40   11.951      -9.9979      -23.073         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   12.729      -42.413      -8.4622         0.00     0.00     0.00
       42   15.644      -39.007      -8.7396         0.00     0.00     0.00
       43   17.773      -35.195      -9.4663         0.00     0.00     0.00
       44   19.279      -30.680      -10.447         0.00     0.00     0.00
       45   20.277      -25.888      -11.267         0.00     0.00     0.00
       46   21.071      -20.982      -11.867         0.00     0.00     0.00
       47   22.088      -16.598      -11.587         0.00     0.00     0.00
       48   23.471      -12.567      -10.230         0.00     0.00     0.00
       49   16.930      -9.2509      -19.843         0.00     0.00     0.00
       50   15.215      -34.483      -13.699         0.00     0.00     0.00
       51   16.402      -29.932      -14.898         0.00     0.00     0.00
       52   17.004      -25.047      -16.050         0.00     0.00     0.00
       53   17.410      -19.988      -17.040         0.00     0.00     0.00
       54   11.883      -40.996      -11.405         0.00     0.00     0.00
       55  -10.931      -16.794      -22.383         0.00     0.00     0.00
       56  -19.317      -17.096      -15.646         0.00     0.00     0.00
       57  -13.593      -31.766      -16.741         0.00     0.00     0.00
       58  -15.084      -24.869      -17.916         0.00     0.00     0.00
