
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
        1   18.278       0.0000       0.0000         0.00     0.00     0.00
        2   0.0000       0.0000      -18.278         0.00     0.00     0.00
        3   17.927       0.0000      -3.5659         0.00     0.00     0.00
        4   16.887       0.0000      -6.9947         0.00     0.00     0.00
        5   15.198       0.0000      -10.155         0.00     0.00     0.00
        6   12.924       0.0000      -12.924         0.00     0.00     0.00
        7   10.155       0.0000      -15.198         0.00     0.00     0.00
        8   6.9947       0.0000      -16.887         0.00     0.00     0.00
        9   3.5659       0.0000      -17.927         0.00     0.00     0.00
       10   0.0000      -42.750       0.0000         0.00     0.00     0.00
       11   0.0000      -6.3360      -18.363         0.00     0.00     0.00
       12   0.0000      -12.656      -17.905         0.00     0.00     0.00
       13   0.0000      -18.903      -16.844         0.00     0.00     0.00
       14   0.0000      -25.071      -15.388         0.00     0.00     0.00
       15   0.0000      -31.150      -13.602         0.00     0.00     0.00
       16   0.0000      -36.776      -10.723         0.00     0.00     0.00
       17   0.0000      -40.956      -6.0374         0.00     0.00     0.00
       18   18.363      -6.3360       0.0000         0.00     0.00     0.00
       19   17.905      -12.656       0.0000         0.00     0.00     0.00
       20   16.844      -18.903       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       21   15.388      -25.071       0.0000         0.00     0.00     0.00
       22   13.602      -31.150       0.0000         0.00     0.00     0.00
       23   10.723      -36.776       0.0000         0.00     0.00     0.00
       24   6.0374      -40.956       0.0000         0.00     0.00     0.00
       25   12.110      -17.499      -12.116         0.00     0.00     0.00
       26   13.004      -4.8768      -13.004         0.00     0.00     0.00
       27   12.864      -9.7016      -12.864         0.00     0.00     0.00
       28   12.514      -14.202      -12.515         0.00     0.00     0.00
       29   3.8581      -23.322      -15.349         0.00     0.00     0.00
       30   7.3960      -21.284      -14.542         0.00     0.00     0.00
       31   10.291      -19.153      -13.268         0.00     0.00     0.00
       32   15.340      -23.327      -3.8924         0.00     0.00     0.00
       33   14.523      -21.286      -7.4322         0.00     0.00     0.00
       34   13.254      -19.153      -10.308         0.00     0.00     0.00
       35   15.275      -5.0371      -10.238         0.00     0.00     0.00
       36   16.971      -5.4287      -7.0644         0.00     0.00     0.00
       37   18.017      -5.8905      -3.6034         0.00     0.00     0.00
       38   15.037      -10.070      -10.190         0.00     0.00     0.00
       39   16.668      -10.863      -7.0475         0.00     0.00     0.00
       40   17.641      -11.787      -3.5974         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       41   14.403      -14.884      -10.105         0.00     0.00     0.00
       42   15.862      -16.208      -7.0840         0.00     0.00     0.00
       43   16.717      -17.617      -3.6310         0.00     0.00     0.00
       44   3.6209      -17.616      -16.720         0.00     0.00     0.00
       45   3.5957      -11.787      -17.642         0.00     0.00     0.00
       46   3.6034      -5.8905      -18.017         0.00     0.00     0.00
       47   7.0747      -16.207      -15.866         0.00     0.00     0.00
       48   7.0466      -10.863      -16.668         0.00     0.00     0.00
       49   7.0644      -5.4287      -16.971         0.00     0.00     0.00
       50   10.102      -14.884      -14.405         0.00     0.00     0.00
       51   10.190      -10.070      -15.037         0.00     0.00     0.00
       52   10.238      -5.0371      -15.275         0.00     0.00     0.00
       53   13.596      -28.911      -4.5728         0.00     0.00     0.00
       54   10.903      -34.243      -5.5941         0.00     0.00     0.00
       55   6.4110      -38.691      -6.4730         0.00     0.00     0.00
       56   12.581      -26.036      -8.4199         0.00     0.00     0.00
       57   9.7388      -30.473      -9.8383         0.00     0.00     0.00
       58   5.4957      -34.231      -10.959         0.00     0.00     0.00
       59   11.271      -22.737      -11.314         0.00     0.00     0.00
       60   8.3416      -26.031      -12.635         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       61   4.4987      -28.901      -13.624         0.00     0.00     0.00
       62   0.0000       0.0000      -26.778         0.00     0.00     0.00
       63   0.0000      -49.250       0.0000         0.00     0.00     0.00
       64   0.0000      -7.7332      -26.269         0.00     0.00     0.00
       65   0.0000      -15.403      -25.143         0.00     0.00     0.00
       66   0.0000      -23.037      -23.795         0.00     0.00     0.00
       67   0.0000      -30.567      -21.963         0.00     0.00     0.00
       68   0.0000      -37.627      -18.807         0.00     0.00     0.00
       69   0.0000      -43.717      -14.040         0.00     0.00     0.00
       70   0.0000      -47.919      -7.5927         0.00     0.00     0.00
       71   26.778       0.0000       0.0000         0.00     0.00     0.00
       72   26.263       0.0000      -5.2241         0.00     0.00     0.00
       73   24.740       0.0000      -10.247         0.00     0.00     0.00
       74   22.265       0.0000      -14.877         0.00     0.00     0.00
       75   18.935       0.0000      -18.935         0.00     0.00     0.00
       76   14.877       0.0000      -22.265         0.00     0.00     0.00
       77   10.247       0.0000      -24.740         0.00     0.00     0.00
       78   5.2241       0.0000      -26.263         0.00     0.00     0.00
       79   26.269      -7.7332       0.0000         0.00     0.00     0.00
       80   25.143      -15.403       0.0000         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
       81   23.795      -23.037       0.0000         0.00     0.00     0.00
       82   21.963      -30.567       0.0000         0.00     0.00     0.00
       83   18.807      -37.627       0.0000         0.00     0.00     0.00
       84   14.040      -43.717       0.0000         0.00     0.00     0.00
       85   7.5927      -47.919       0.0000         0.00     0.00     0.00
       86   17.041      -21.381      -17.055         0.00     0.00     0.00
       87   5.4522      -28.560      -21.874         0.00     0.00     0.00
       88   10.455      -26.088      -20.657         0.00     0.00     0.00
       89   14.518      -23.443      -18.751         0.00     0.00     0.00
       90   18.700      -6.0205      -18.700         0.00     0.00     0.00
       91   18.178      -11.894      -18.178         0.00     0.00     0.00
       92   17.547      -17.346      -17.549         0.00     0.00     0.00
       93   21.860      -28.568      -5.5022         0.00     0.00     0.00
       94   20.626      -26.093      -10.512         0.00     0.00     0.00
       95   18.726      -23.443      -14.551         0.00     0.00     0.00
       96   6.2495      -35.351      -19.062         0.00     0.00     0.00
       97   7.2173      -41.372      -14.470         0.00     0.00     0.00
       98   7.9697      -45.967      -8.0421         0.00     0.00     0.00
       99   11.801      -32.013      -17.944         0.00     0.00     0.00
      100   13.366      -37.315      -13.496         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      101   14.396      -41.389      -7.3329         0.00     0.00     0.00
      102   16.024      -27.923      -16.093         0.00     0.00     0.00
      103   17.866      -32.021      -11.913         0.00     0.00     0.00
      104   19.021      -35.369      -6.3460         0.00     0.00     0.00
      105   14.724      -6.2167      -21.946         0.00     0.00     0.00
      106   10.153      -6.6928      -24.349         0.00     0.00     0.00
      107   5.1744      -7.2406      -25.810         0.00     0.00     0.00
      108   14.391      -12.343      -21.219         0.00     0.00     0.00
      109   9.9346      -13.303      -23.471         0.00     0.00     0.00
      110   5.0608      -14.405      -24.797         0.00     0.00     0.00
      111   14.159      -18.183      -20.208         0.00     0.00     0.00
      112   9.9157      -19.806      -22.287         0.00     0.00     0.00
      113   5.0772      -21.511      -23.544         0.00     0.00     0.00
      114   23.540      -21.513      -5.0929         0.00     0.00     0.00
      115   24.797      -14.405      -5.0638         0.00     0.00     0.00
      116   25.810      -7.2406      -5.1744         0.00     0.00     0.00
      117   22.279      -19.807      -9.9329         0.00     0.00     0.00
      118   23.470      -13.304      -9.9370         0.00     0.00     0.00
      119   24.349      -6.6928      -10.153         0.00     0.00     0.00
      120   20.202      -18.183      -14.167         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      121   21.219      -12.343      -14.392         0.00     0.00     0.00
      122   21.946      -6.2167      -14.724         0.00     0.00     0.00
      123   22.528       0.0000       0.0000         0.00     0.00     0.00
      124   0.0000       0.0000      -22.528         0.00     0.00     0.00
      125   22.095       0.0000      -4.3950         0.00     0.00     0.00
      126   20.813       0.0000      -8.6211         0.00     0.00     0.00
      127   18.731       0.0000      -12.516         0.00     0.00     0.00
      128   15.930       0.0000      -15.930         0.00     0.00     0.00
      129   12.516       0.0000      -18.731         0.00     0.00     0.00
      130   8.6211       0.0000      -20.813         0.00     0.00     0.00
      131   4.3950       0.0000      -22.095         0.00     0.00     0.00
      132   0.0000      -46.000       0.0000         0.00     0.00     0.00
      133   22.316      -7.0347       0.0000         0.00     0.00     0.00
      134   21.524      -14.029       0.0000         0.00     0.00     0.00
      135   20.319      -20.970       0.0000         0.00     0.00     0.00
      136   18.675      -27.819       0.0000         0.00     0.00     0.00
      137   16.203      -34.388       0.0000         0.00     0.00     0.00
      138   12.380      -40.245       0.0000         0.00     0.00     0.00
      139   6.8147      -44.437       0.0000         0.00     0.00     0.00
      140   0.0000      -7.0347      -22.316         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      141   0.0000      -14.029      -21.524         0.00     0.00     0.00
      142   0.0000      -20.970      -20.319         0.00     0.00     0.00
      143   0.0000      -27.819      -18.675         0.00     0.00     0.00
      144   0.0000      -34.388      -16.203         0.00     0.00     0.00
      145   0.0000      -40.245      -12.380         0.00     0.00     0.00
      146   0.0000      -44.437      -6.8147         0.00     0.00     0.00
      147   14.263      -19.399      -14.279         0.00     0.00     0.00
      148   17.988      -25.713      -4.6175         0.00     0.00     0.00
      149   16.934      -23.454      -8.8045         0.00     0.00     0.00
      150   15.521      -21.165      -12.173         0.00     0.00     0.00
      151   4.5854      -25.709      -18.002         0.00     0.00     0.00
      152   8.7652      -23.451      -16.958         0.00     0.00     0.00
      153   12.145      -21.164      -15.544         0.00     0.00     0.00
      154   15.541      -5.5290      -15.542         0.00     0.00     0.00
      155   15.156      -10.912      -15.159         0.00     0.00     0.00
      156   14.694      -15.820      -14.701         0.00     0.00     0.00
      157   19.640      -19.464      -4.3326         0.00     0.00     0.00
      158   20.780      -13.051      -4.2748         0.00     0.00     0.00
      159   21.542      -6.5477      -4.3161         0.00     0.00     0.00
      160   18.510      -17.923      -8.3990         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      161   19.551      -12.079      -8.3542         0.00     0.00     0.00
      162   20.241      -6.0716      -8.4571         0.00     0.00     0.00
      163   16.825      -16.538      -11.923         0.00     0.00     0.00
      164   17.664      -11.269      -12.038         0.00     0.00     0.00
      165   18.230      -5.6862      -12.249         0.00     0.00     0.00
      166   5.1383      -31.646      -15.530         0.00     0.00     0.00
      167   5.8502      -36.981      -11.785         0.00     0.00     0.00
      168   6.4628      -41.250      -6.5037         0.00     0.00     0.00
      169   9.6646      -28.548      -14.522         0.00     0.00     0.00
      170   10.801      -33.142      -10.877         0.00     0.00     0.00
      171   11.738      -36.987      -5.9149         0.00     0.00     0.00
      172   13.175      -25.013      -13.222         0.00     0.00     0.00
      173   14.471      -28.552      -9.7328         0.00     0.00     0.00
      174   15.500      -31.653      -5.1942         0.00     0.00     0.00
      175   12.249      -5.6862      -18.230         0.00     0.00     0.00
      176   8.4561      -6.0715      -20.241         0.00     0.00     0.00
      177   4.3153      -6.5476      -21.542         0.00     0.00     0.00
      178   12.035      -11.269      -17.666         0.00     0.00     0.00
      179   8.3498      -12.079      -19.554         0.00     0.00     0.00
      180   4.2710      -13.051      -20.782         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
      181   11.912      -16.538      -16.833         0.00     0.00     0.00
      182   8.3833      -17.922      -18.518         0.00     0.00     0.00
      183   4.3197      -19.462      -19.645         0.00     0.00     0.00
      184  -18.278       0.0000       0.0000         0.00     0.00     0.00
      185  -3.5659       0.0000      -17.927         0.00     0.00     0.00
      186  -6.9947       0.0000      -16.887         0.00     0.00     0.00
      187  -10.155       0.0000      -15.198         0.00     0.00     0.00
      188  -12.924       0.0000      -12.924         0.00     0.00     0.00
      189  -15.198       0.0000      -10.155         0.00     0.00     0.00
      190  -16.887       0.0000      -6.9947         0.00     0.00     0.00
      191  -17.927       0.0000      -3.5659         0.00     0.00     0.00
      192  -18.363      -6.3360       0.0000         0.00     0.00     0.00
      193  -17.905      -12.656       0.0000         0.00     0.00     0.00
      194  -16.844      -18.903       0.0000         0.00     0.00     0.00
      195  -15.388      -25.071       0.0000         0.00     0.00     0.00
