
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X            Y            Z          THXY     THYZ     THZX
     1388   0.0000       0.0000      -26.778         0.00     0.00     0.00
     1431   26.778       0.0000       0.0000         0.00     0.00     0.00
     1432   26.759       0.0000      -1.0013         0.00     0.00     0.00
     1433   26.703       0.0000      -2.0011         0.00     0.00     0.00
     1434   26.610       0.0000      -2.9982         0.00     0.00     0.00
     1435   26.479       0.0000      -3.9911         0.00     0.00     0.00
     1436   26.311       0.0000      -4.9783         0.00     0.00     0.00
     1437   26.107       0.0000      -5.9587         0.00     0.00     0.00
     1438   25.866       0.0000      -6.9307         0.00     0.00     0.00
     1439   25.588       0.0000      -7.8930         0.00     0.00     0.00
     1440   25.275       0.0000      -8.8442         0.00     0.00     0.00
     1441   24.927       0.0000      -9.7831         0.00     0.00     0.00
     1442   24.544       0.0000      -10.708         0.00     0.00     0.00
     1443   24.126       0.0000      -11.619         0.00     0.00     0.00
     1444   23.675       0.0000      -12.513         0.00     0.00     0.00
     1445   23.190       0.0000      -13.389         0.00     0.00     0.00
     1446   22.674       0.0000      -14.247         0.00     0.00     0.00
     1447   22.125       0.0000      -15.085         0.00     0.00     0.00
     1448   21.546       0.0000      -15.901         0.00     0.00     0.00
     1449   20.936       0.0000      -16.696         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1450   20.297       0.0000      -17.467         0.00     0.00     0.00
     1451   19.630       0.0000      -18.214         0.00     0.00     0.00
     1452   18.935       0.0000      -18.935         0.00     0.00     0.00
     1453   18.214       0.0000      -19.630         0.00     0.00     0.00
     1454   17.467       0.0000      -20.297         0.00     0.00     0.00
     1455   16.696       0.0000      -20.936         0.00     0.00     0.00
     1456   15.901       0.0000      -21.546         0.00     0.00     0.00
     1457   15.085       0.0000      -22.125         0.00     0.00     0.00
     1458   14.247       0.0000      -22.674         0.00     0.00     0.00
     1459   13.389       0.0000      -23.190         0.00     0.00     0.00
     1460   12.513       0.0000      -23.675         0.00     0.00     0.00
     1461   11.619       0.0000      -24.126         0.00     0.00     0.00
     1462   10.708       0.0000      -24.544         0.00     0.00     0.00
     1463   9.7831       0.0000      -24.927         0.00     0.00     0.00
     1464   8.8442       0.0000      -25.275         0.00     0.00     0.00
     1465   7.8930       0.0000      -25.588         0.00     0.00     0.00
     1466   6.9307       0.0000      -25.866         0.00     0.00     0.00
     1467   5.9587       0.0000      -26.107         0.00     0.00     0.00
     1468   4.9783       0.0000      -26.311         0.00     0.00     0.00
     1469   3.9911       0.0000      -26.479         0.00     0.00     0.00

    NODE        X            Y            Z          THXY     THYZ     THZX
     1470   2.9982       0.0000      -26.610         0.00     0.00     0.00
     1471   2.0011       0.0000      -26.703         0.00     0.00     0.00
     1472   1.0013       0.0000      -26.759         0.00     0.00     0.00
    11054  -26.778       0.0000       0.0000         0.00     0.00     0.00
    11096  -1.0013       0.0000      -26.759         0.00     0.00     0.00
    11097  -2.0011       0.0000      -26.703         0.00     0.00     0.00
    11098  -2.9982       0.0000      -26.610         0.00     0.00     0.00
    11099  -3.9911       0.0000      -26.479         0.00     0.00     0.00
    11100  -4.9783       0.0000      -26.311         0.00     0.00     0.00
    11101  -5.9587       0.0000      -26.107         0.00     0.00     0.00
    11102  -6.9307       0.0000      -25.866         0.00     0.00     0.00
    11103  -7.8930       0.0000      -25.588         0.00     0.00     0.00
    11104  -8.8442       0.0000      -25.275         0.00     0.00     0.00
    11105  -9.7831       0.0000      -24.927         0.00     0.00     0.00
    11106  -10.708       0.0000      -24.544         0.00     0.00     0.00
    11107  -11.619       0.0000      -24.126         0.00     0.00     0.00
    11108  -12.513       0.0000      -23.675         0.00     0.00     0.00
