avg(c),avg(k1),avg(k2),avg(k3),avg(k4),avg(m_gm),avg(m_c_i4),avg(m_c_i6),Time
0.0228,0.132,3.45,0.132,3.45,1,1,1,0
0.0139203,0.132,3.45,0.132,3.45,1,1,1,1
0.00849891,0.129556,3.38202,0.126805,3.31201,1,1.00121,1.00067,2
0.00518893,0.125234,3.26149,0.11944,3.11529,1,1.00359,1.00212,3
0.00316805,0.119459,3.10004,0.111304,2.89664,1,1.0072,1.0046,4
0.00193422,0.112569,2.90707,0.103061,2.67397,1,1.01219,1.00851,5
0.00118092,0.104897,2.69199,0.0961827,2.48647,1,1.01876,1.01434,6
0.000720999,0.0968355,2.46601,0.0913311,2.35266,1,1.02704,1.02256,7
0.000440199,0.0887013,2.23832,0.0884721,2.27254,1,1.03719,1.03358,8
0.000268759,0.0807847,2.01743,0.0877799,2.25141,1,1.0493,1.04765,9
0.000164088,0.0732919,1.8094,0.0894066,2.29348,1,1.06348,1.06493,10
0.000100183,0.0663676,1.61837,0.0941925,2.42034,1,1.07991,1.08552,11
6.11655e-005,0.0602209,1.44989,0.100273,2.58235,1,1.09868,1.10944,12
3.7344e-005,0.054832,1.30331,0.107674,2.78,1,1.12014,1.13668,13
2.28e-005,0.0502148,1.17884,0.120007,3.10904,1,1.14468,1.16733,14
2.28e-005,0.0464402,1.07827,0.12847,3.33621,1,1.17279,1.20161,15
2.28e-005,0.0426245,0.977973,0.140915,3.66954,1,1.20505,1.23939,16
2.28e-005,0.039192,0.889161,0.153252,4.00027,1,1.24247,1.28149,17
2.28e-005,0.0361916,0.812978,0.164566,4.30355,1,1.28656,1.32895,18
2.28e-005,0.0335035,0.746302,0.172043,4.50381,1,1.33947,1.38278,19
2.28e-005,0.0309742,0.685143,0.170707,4.46908,1,1.40477,1.44366,20
2.28e-005,0.028743,0.632355,0.163347,4.2733,1,1.48818,1.51339,21
2.28e-005,0.0268428,0.587897,0.15448,4.03645,1,1.5958,1.5932,22
2.28e-005,0.0252797,0.551699,0.143349,3.73783,1,1.7296,1.68211,23
2.28e-005,0.0241312,0.524851,0.126747,3.29221,1,1.88974,1.78019,24
2.28e-005,0.0234996,0.510368,0.114683,2.96734,1,2.07041,1.88433,25
2.28e-005,0.0226289,0.487588,0.113263,2.92647,1,2.26152,1.99117,26
2.28e-005,0.0220222,0.470574,0.113822,2.93846,1,2.45067,2.09741,27
2.28e-005,0.0215964,0.458217,0.116762,3.01428,1,2.62745,2.19709,28
2.28e-005,0.0212885,0.449396,0.119641,3.08927,1,2.78848,2.28725,29
2.28e-005,0.0211006,0.444002,0.118792,3.06489,1,2.93583,2.36939,30
2.28e-005,0.0210997,0.443593,0.116856,3.01167,1,3.06989,2.44373,31
2.28e-005,0.0213669,0.450759,0.11984,3.08969,1,3.19089,2.51047,32
2.28e-005,0.0213328,0.450651,0.121971,3.14519,1,3.301,2.57256,33
2.28e-005,0.0215586,0.45756,0.123835,3.19346,1,3.40281,2.63292,34
2.28e-005,0.0221594,0.47478,0.127926,3.30163,1,3.49568,2.69013,35
2.28e-005,0.0220698,0.473291,0.129459,3.34237,1,3.57725,2.73935,36
2.28e-005,0.0220884,0.474601,0.132423,3.42209,1,3.64972,2.7819,37
2.28e-005,0.0222668,0.480063,0.135204,3.49658,1,3.7144,2.81716,38
2.28e-005,0.0220717,0.475741,0.140266,3.63177,1,3.7709,2.84333,39
2.28e-005,0.022862,0.499651,0.146856,3.80757,1,3.82043,2.8612,40
2.28e-005,0.0226849,0.496123,0.152096,3.94808,1,3.864,2.87195,41
2.28e-005,0.022523,0.492923,0.157778,4.10106,1,3.9029,2.87757,42
2.28e-005,0.0223784,0.490062,0.16515,4.29908,1,3.93803,2.8787,43
2.28e-005,0.0222518,0.487527,0.174512,4.55094,1,3.97002,2.876,44
2.28e-005,0.0221438,0.48532,0.178509,4.66053,1,3.99948,2.87079,45
2.28e-005,0.0220492,0.483342,0.183103,4.78624,1,4.02689,2.8645,46
2.28e-005,0.0219607,0.481506,0.187082,4.8955,1,4.05248,2.85823,47
2.28e-005,0.0218818,0.479834,0.188141,4.92669,1,4.07651,2.85265,48
2.28e-005,0.0218076,0.478252,0.191237,5.01162,1,4.09936,2.84782,49
2.28e-005,0.0217372,0.476758,0.194334,5.09603,1,4.12113,2.844,50
2.28e-005,0.0216702,0.475345,0.192871,5.05891,1,4.14158,2.84185,51
2.28e-005,0.0216071,0.474015,0.197569,5.18568,1,4.16095,2.84135,52
2.28e-005,0.0215486,0.472777,0.200052,5.25369,1,4.17912,2.84205,53
2.28e-005,0.0214979,0.471668,0.207171,5.44539,1,4.19618,2.8438,54
2.28e-005,0.0214518,0.470655,0.208992,5.49549,1,4.21196,2.8463,55
