avg(sigma_aniso_i4_h),avg(sigma_aniso_i4_curr),avg(sigma_aniso_i4_difference),avg(sigma_aniso_i6_h),avg(sigma_aniso_i6_curr),avg(sigma_aniso_i6_difference),avg(i4),avg(i6),avg(stretch_fibroblast_i4),avg(stretch_fibroblast_i6),Time
0.00261791,0.00261791,0,0.000813071,0.000813071,0,1.00979,1.00298,1.05,1.05,0
0.00261791,0.00261791,0,0.000813071,0.000813071,0,1.00979,1.00298,1.05,1.05,1
0.00280075,0.00298359,0.00018284,0.000911588,0.00100983,9.82447e-005,1.01114,1.00373,1.0507,1.05039,2
0.00296515,0.0033124,0.000347243,0.00101873,0.00121935,0.000200614,1.01258,1.00469,1.05137,1.05086,3
0.00312064,0.00362337,0.00050273,0.00114162,0.00145335,0.000311725,1.0142,1.00602,1.05208,1.05146,4
0.00327359,0.00392918,0.000655592,0.00127973,0.00171231,0.000432574,1.01611,1.0079,1.05286,1.0523,5
0.00342291,0.00422726,0.000804351,0.00141919,0.00197162,0.000552434,1.01837,1.01047,1.05374,1.0534,6
0.00355281,0.00448605,0.000933238,0.00153806,0.00218963,0.00065157,1.02091,1.01372,1.05467,1.05475,7
0.00365907,0.0046976,0.00103853,0.00162078,0.00233651,0.000715735,1.02376,1.01757,1.05567,1.05626,8
0.00373267,0.00484201,0.00110934,0.00165998,0.00239165,0.000731674,1.02684,1.02183,1.05668,1.05781,9
0.00377526,0.00492006,0.0011448,0.00166763,0.00236147,0.000693848,1.03014,1.02633,1.0577,1.05931,10
0.00379624,0.0049439,0.00114766,0.00166763,0.00226834,0.000600717,1.03374,1.03094,1.05875,1.06069,11
0.00379936,0.00490206,0.00110269,0.00166763,0.00214441,0.000476781,1.03751,1.03546,1.05978,1.06185,12
0.00380094,0.00483855,0.00103761,0.00166763,0.00201813,0.000350503,1.04168,1.03981,1.0609,1.06279,13
0.00380094,0.00475479,0.000953846,0.00166763,0.00189748,0.000229857,1.04627,1.04401,1.0621,1.06352,14
0.00380094,0.00465578,0.000854836,0.00166763,0.00178373,0.000116104,1.05135,1.04808,1.0634,1.06409,15
0.00380094,0.00454163,0.000740692,0.00166763,0.00167021,2.58854e-006,1.05691,1.05169,1.06479,1.06434,16
0.00380094,0.00443502,0.000634083,0.00166763,0.00157605,-9.15762e-005,1.06326,1.05548,1.0664,1.06461,17
0.00380094,0.00433349,0.000532551,0.00166763,0.00150119,-0.000166435,1.0707,1.05948,1.06834,1.06492,18
0.00380094,0.00422669,0.000425744,0.00166763,0.00145696,-0.000210667,1.07949,1.06354,1.07067,1.06519,19
0.00380094,0.00412778,0.000326838,0.00166763,0.00148606,-0.000181569,1.09031,1.06743,1.07365,1.06533,20
0.00380094,0.00402456,0.000223614,0.00166763,0.00156216,-0.000105464,1.10393,1.07162,1.07749,1.06555,21
0.00380094,0.00392847,0.000127527,0.00166763,0.0016756,7.97074e-006,1.1197,1.07571,1.08178,1.06568,22
0.00380094,0.00385939,5.84463e-005,0.00166763,0.00179825,0.000130626,1.13521,1.07884,1.08547,1.06536,23
0.00380094,0.00379248,-8.46321e-006,0.00166763,0.00194076,0.000273136,1.14999,1.0817,1.0884,1.06496,24
0.00380094,0.0037355,-6.5438e-005,0.00166763,0.0020824,0.00041477,1.1616,1.08347,1.08962,1.06413,25
0.00380094,0.00371976,-8.11821e-005,0.00166763,0.00221007,0.000542449,1.16881,1.08425,1.08883,1.06299,26
0.00380094,0.00369712,-0.000103818,0.00166763,0.00233103,0.000663408,1.17115,1.08416,1.08602,1.06158,27
