avg(sigma_aniso_i4_h),avg(sigma_aniso_i4_curr),avg(sigma_aniso_i4_difference),avg(sigma_aniso_i6_h),avg(sigma_aniso_i6_curr),avg(sigma_aniso_i6_difference),avg(i4),avg(i6),avg(stretch_fibroblast_i4),avg(stretch_fibroblast_i6),Time
0.00260246,0.00260246,0,0.000809986,0.000809986,0,1.00974,1.00297,1.05,1.05,0
0.00260246,0.00260246,0,0.000809986,0.000809986,0,1.00974,1.00297,1.05,1.05,1
0.00260246,0.00296779,0.000365337,0.000809986,0.00101138,0.000201397,1.01108,1.00373,1.0507,1.0504,2
0.00260246,0.00327821,0.000675754,0.000809986,0.00119263,0.000382647,1.01274,1.00485,1.05149,1.05095,3
0.00260246,0.00355984,0.000957384,0.000809986,0.00134506,0.000535078,1.01496,1.00663,1.05249,1.05178,4
0.00260246,0.00382679,0.00122434,0.000809986,0.0014457,0.000635711,1.01803,1.00949,1.05382,1.05309,5
0.00260246,0.00407074,0.00146829,0.000809986,0.00147939,0.000669401,1.02234,1.01387,1.05566,1.05506,6
0.00260246,0.00424979,0.00164734,0.000809986,0.00145453,0.000644541,1.02824,1.02007,1.05811,1.05774,7
0.00260246,0.00435333,0.00175088,0.000809986,0.00139805,0.000588066,1.03622,1.02825,1.06136,1.06114,8
0.00260246,0.00437234,0.00176989,0.000809986,0.00132123,0.000511249,1.04684,1.03849,1.06557,1.06515,9
0.00260246,0.00432707,0.00172461,0.000809986,0.0012393,0.000429313,1.06096,1.05074,1.07103,1.06962,10
0.00260246,0.00422085,0.00161839,0.000809986,0.00117709,0.000367102,1.07982,1.06473,1.07809,1.07425,11
0.00260246,0.00410303,0.00150058,0.000809986,0.00118628,0.000376293,1.10654,1.0809,1.08785,1.07914,12
0.00260246,0.00395599,0.00135354,0.000809986,0.00138222,0.00057223,1.14722,1.10049,1.10223,1.08465,13
0.00260246,0.00386702,0.00126456,0.000809986,0.00176204,0.000952051,1.19128,1.11973,1.11601,1.08895,14
0.00260246,0.0038063,0.00120385,0.000809986,0.00222316,0.00141317,1.21949,1.13272,1.12142,1.08996,15
0.00260246,0.00376071,0.00115825,0.000809986,0.00256412,0.00175413,1.22381,1.13199,1.11622,1.08541,16
0.00260246,0.00373348,0.00113102,0.000809986,0.00294826,0.00213827,1.22349,1.13058,1.10956,1.08119,17
0.00260246,0.00370832,0.00110586,0.000809986,0.00331523,0.00250525,1.21925,1.12864,1.102,1.07728,18
0.00260246,0.00369261,0.00109015,0.000809986,0.00367772,0.00286773,1.21717,1.1277,1.09608,1.07424,19
0.00260246,0.00365599,0.00105354,0.000809986,0.00404192,0.00323194,1.21624,1.12774,1.09117,1.07193,20
